Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_53.0,C_53.5,C_54.0,C_54.5,C_55.0,C_55.5,C_56.0,C_56.5,C_57.0,C_57.5,C_58.0,P_53.0,P_53.5,P_54.0,P_54.5,P_55.0,P_55.5,P_56.0,P_56.5,P_57.0,P_57.5,P_58.0
ORCL,Bear Call Spread,-13.24,-12.0,12.0,88.0,68.17,31.83,-0.15045454545454545,-12.000000000000002,-3.9999999999999996,0.9999999999999999,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-39.18,-203.0,203.0,247.0,41.59,58.41,-0.15862348178137653,-65.0,0.0,0.9999999999999999,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-15.64,-54.0,54.0,96.0,50.39,49.61,-0.16291666666666668,-25.0,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-21.41,-220.0,220.0,130.0,35.05,64.95,-0.1646923076923077,-44.99999999999999,7.000000000000001,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-11.95,-30.0,30.0,70.0,54.01,45.99,-0.1707142857142857,-17.0,-1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-18.19,-200.0,200.0,100.0,32.02,67.98,-0.1819,-36.99999999999999,7.000000000000001,-1.0000000000000002,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-38.44,-193.0,193.0,207.0,39.9,60.1,-0.18570048309178744,-59.00000000000001,2.0000000000000004,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-15.77,-67.0,67.0,83.0,43.3,56.7,-0.19,-23.0,1.0000000000000009,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-16.23,-17.0,17.0,83.0,61.22,38.78,-0.1955421686746988,-15.0,-3.0,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCL,Bear Call Spread,-23.0,-134.0,134.0,116.0,38.25,61.75,-0.19827586206896552,-37.0,4.000000000000001,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
