Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_50.0,C_51.0,C_52.0,C_52.5,C_53.0,C_53.5,C_54.0,C_54.5,P_50.0,P_51.0,P_52.0,P_52.5,P_53.0,P_53.5,P_54.0,P_54.5
INTC,Bear Call Spread,-5.25,-7.0,7.0,43.0,73.47,25.87,-0.12209302325581395,-4.0000000000000036,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-5.59,-5.000000000000007,5.000000000000007,44.99999999999999,76.96,22.38,-0.12422222222222223,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-12.72,-51.0,51.0,99.0,55.03,44.31,-0.12848484848484848,-14.000000000000002,-1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-20.74,-99.0,99.0,151.0,48.53,50.81,-0.13735099337748344,-24.0,-1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-19.07,-82.00000000000001,82.00000000000001,117.99999999999999,47.42,51.91,-0.16161016949152546,-19.999999999999996,-1.0000000000000009,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-11.05,-34.000000000000014,34.000000000000014,65.99999999999999,52.89,46.45,-0.16742424242424248,-9.999999999999998,-1.0000000000000009,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-7.27,-9.0,9.0,41.0,65.06,34.28,-0.1773170731707317,-3.9999999999999982,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-8.62,-10.0,10.0,40.0,61.21,38.13,-0.21549999999999997,-4.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Call Spread,-13.99,-42.0,42.0,58.0,43.02,56.32,-0.24120689655172414,-9.999999999999998,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Put Spread,-38.33,232.00000000000006,67.99999999999994,232.00000000000006,56.09,43.25,-0.16521551724137926,-19.000000000000007,-2.0000000000000004,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
INTC,Bear Put Spread,-49.34,287.00000000000006,112.99999999999994,287.00000000000006,50.72,48.62,-0.17191637630662018,-26.000000000000007,-2.0000000000000004,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
INTC,Bear Put Spread,-48.89,282.00000000000006,67.99999999999994,282.00000000000006,56.09,43.25,-0.1733687943262411,-20.999999999999996,-2.0000000000000004,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
INTC,Bear Put Spread,-59.89,337.00000000000006,112.99999999999994,337.00000000000006,50.72,48.62,-0.17771513353115725,-27.999999999999996,-2.0000000000000004,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
INTC,Bear Put Spread,-33.25,172.00000000000006,27.999999999999943,172.00000000000006,62.19,37.15,-0.19331395348837202,-11.00000000000001,-1.0000000000000009,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
INTC,Bear Put Spread,-43.8,222.00000000000006,27.999999999999943,222.00000000000006,62.19,37.15,-0.19729729729729722,-13.0,-1.0000000000000009,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
INTC,Bear Put Spread,-52.04,252.0,98.0,252.0,48.53,50.81,-0.2065079365079365,-24.000000000000004,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
INTC,Bear Put Spread,-42.92,207.0,93.0,207.0,48.53,50.81,-0.20734299516908214,-21.000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
INTC,Bear Put Spread,-41.03,197.0,53.0,197.0,55.03,44.31,-0.2082741116751269,-17.000000000000004,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
INTC,Bear Put Spread,-31.91,152.0,48.0,152.0,53.96,45.38,-0.20993421052631578,-14.000000000000002,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
INTC,Bear Put Spread,-36.64,167.0,83.0,167.0,47.42,51.91,-0.21940119760479043,-18.0,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
INTC,Bear Put Spread,-43.12,190.00000000000006,9.999999999999943,190.00000000000006,65.98,33.36,-0.22694736842105254,-9.999999999999998,-1.0000000000000009,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
INTC,Bear Put Spread,-25.63,112.0,38.0,112.0,52.89,46.45,-0.22883928571428572,-10.999999999999998,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
INTC,Bear Put Spread,-32.57,140.00000000000006,9.999999999999943,140.00000000000006,65.98,33.36,-0.23264285714285704,-8.000000000000007,-1.0000000000000009,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
INTC,Bear Put Spread,-35.95,137.0,13.0,137.0,61.21,38.13,-0.2624087591240876,-9.000000000000007,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
INTC,Bear Put Spread,-36.96,136.0,64.0,136.0,45.22,54.12,-0.27176470588235296,-14.999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Put Spread,-26.82,92.0,8.0,92.0,60.21,39.13,-0.2915217391304348,-6.000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
INTC,Bear Put Spread,-25.95,81.0,19.0,81.0,50.72,48.62,-0.32037037037037036,-7.9999999999999964,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
INTC,Bear Put Spread,-26.9,71.00000000000003,28.99999999999997,71.00000000000003,40.82,58.51,-0.37887323943661955,-7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
