Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_120.0,C_121.0,C_122.0,C_123.0,C_124.0,C_125.0,C_126.0,C_127.0,C_128.0,C_129.0,C_130.0,C_131.0,C_132.0,P_120.0,P_121.0,P_122.0,P_123.0,P_124.0,P_125.0,P_126.0,P_127.0,P_128.0,P_129.0,P_130.0,P_131.0,P_132.0
PG,Bear Call Spread,-111.64,-170.0,170.0,430.0,42.56,57.44,-0.2596279069767442,-35.00000000000001,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-41.8,-141.0,141.0,159.0,38.34,61.66,-0.2628930817610063,-19.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-58.93,-177.0,177.0,223.0,39.04,60.96,-0.26426008968609865,-27.999999999999996,1.0000000000000009,1.9999999999999991,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-88.98,-166.0,166.0,334.0,42.12,57.88,-0.26640718562874255,-31.000000000000007,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-79.79,-1.0,1.0,299.0,59.03,40.97,-0.26685618729096994,-13.0,-1.9999999999999998,2.0000000000000004,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-26.72,-99.99999999999994,99.99999999999994,100.00000000000006,36.56,63.44,-0.2671999999999998,-12.0,0.9999999999999996,0.0,0.9999999999999996,-0.9999999999999999,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-201.04,-352.99999999999994,352.99999999999994,747.0,36.97,63.03,-0.26912985274431056,-70.0,-1.0000000000000002,-3.0,0.9999999999999996,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-81.57,-200.0,200.0,300.0,39.89,60.11,-0.2719,-31.0,0.0,0.9999999999999996,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-107.2,-112.99999999999999,112.99999999999999,387.0,44.58,55.42,-0.2770025839793282,-29.000000000000004,-0.9999999999999996,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-84.54,-109.00000000000001,109.00000000000001,291.0,44.58,55.42,-0.2905154639175258,-25.0,-0.9999999999999996,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-97.86,-63.999999999999986,63.999999999999986,336.0,47.62,52.38,-0.29125,-22.0,-2.0000000000000004,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PG,Bear Call Spread,-211.34,-324.99999999999994,324.99999999999994,675.0,36.7,63.3,-0.3130962962962963,-67.0,0.0,-4.000000000000001,2.0000000000000004,-1.9999999999999998,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
