Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_120.0,C_121.0,C_122.0,C_123.0,C_124.0,C_125.0,C_126.0,C_127.0,C_128.0,C_129.0,C_130.0,C_131.0,C_132.0,P_120.0,P_121.0,P_122.0,P_123.0,P_124.0,P_125.0,P_126.0,P_127.0,P_128.0,P_129.0,P_130.0,P_131.0,P_132.0
IBM,Bear Call Spread,-24.89,-407.00000000000006,407.00000000000006,593.0,51.19,47.35,-0.04197301854974705,-55.99999999999999,-1.0000000000000002,3.0,-2.0000000000000004,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-24.13,-388.00000000000006,388.00000000000006,511.99999999999994,50.0,48.54,-0.047128906250000005,-52.0,0.0,2.0000000000000004,-0.9999999999999996,-1.9999999999999998,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-9.32,-306.0,306.0,194.0,39.28,59.26,-0.048041237113402066,-28.000000000000004,2.0000000000000004,-1.9999999999999991,1.9999999999999991,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-17.88,-238.0,238.0,362.0,52.97,45.57,-0.049392265193370165,-37.0,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-27.48,-272.0,272.0,528.0,55.32,43.22,-0.05204545454545455,-44.99999999999999,-1.9999999999999998,3.9999999999999996,-3.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-21.17,-298.0,298.0,402.0,50.59,47.95,-0.052661691542288565,-43.00000000000001,-0.9999999999999996,0.9999999999999996,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-30.78,-332.0,332.0,568.0,52.97,45.57,-0.05419014084507042,-51.0,-1.9999999999999998,3.0,-3.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-16.2,-211.0,211.0,289.0,51.78,46.76,-0.056055363321799306,-31.0,0.0,0.9999999999999996,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-19.5,-271.0,271.0,329.0,49.4,49.14,-0.05927051671732523,-37.00000000000001,0.0,0.0,-0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-26.73,-253.0,253.0,447.0,54.15,44.4,-0.059798657718120804,-41.0,-0.9999999999999996,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-30.02,-313.0,313.0,487.0,51.78,46.76,-0.06164271047227926,-47.0,-0.9999999999999996,2.0000000000000004,-1.9999999999999991,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-17.69,-422.0,422.0,278.0,40.46,58.08,-0.06363309352517986,-38.00000000000001,1.9999999999999998,-1.9999999999999991,1.9999999999999991,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-14.34,-179.0,179.0,221.0,49.4,49.14,-0.0648868778280543,-25.0,0.0,0.9999999999999996,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-17.64,-239.0,239.0,261.0,47.01,51.53,-0.06758620689655173,-31.000000000000007,0.0,0.0,0.0,-1.9999999999999998,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-18.52,-342.0,342.0,258.0,41.64,56.9,-0.07178294573643411,-34.0,0.9999999999999996,-1.9999999999999991,1.9999999999999991,-0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-37.92,-204.0,204.0,496.0,57.06,41.48,-0.07645161290322582,-39.0,-1.9999999999999998,3.9999999999999996,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-14.91,-226.00000000000006,226.00000000000006,173.99999999999994,40.46,58.08,-0.08568965517241382,-24.0,2.0000000000000004,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-28.32,-170.0,170.0,330.0,55.32,43.22,-0.08581818181818182,-31.000000000000007,-0.9999999999999996,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-28.91,-77.0,77.0,323.0,66.46,32.09,-0.0895046439628483,-20.0,-1.9999999999999998,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-37.16,-185.0,185.0,415.0,55.9,42.64,-0.08954216867469879,-35.0,-0.9999999999999996,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-40.53,-150.0,150.0,450.0,59.92,38.62,-0.09006666666666667,-31.999999999999996,-3.0000000000000004,3.9999999999999996,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-24.1,-262.0000000000001,262.0000000000001,237.9999999999999,42.83,55.71,-0.10126050420168073,-30.0,0.9999999999999996,-0.9999999999999996,0.9999999999999996,-0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-40.2,-105.0,105.0,395.0,62.7,35.84,-0.10177215189873419,-26.0,-1.9999999999999998,3.9999999999999996,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-26.64,-143.0,143.0,257.0,53.56,44.98,-0.10365758754863813,-25.000000000000007,0.0,0.9999999999999996,-0.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-39.77,-131.0,131.0,369.0,58.78,39.76,-0.10777777777777779,-27.999999999999996,-2.0000000000000004,3.0,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-30.92,-116.0,116.0,284.0,57.64,40.9,-0.10887323943661972,-24.0,-2.0000000000000004,1.9999999999999991,-1.9999999999999991,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-29.02,-43.00000000000001,43.00000000000001,257.0,70.01,28.53,-0.1129182879377432,-13.999999999999998,-1.9999999999999998,3.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-28.15,-58.0,58.0,242.0,65.4,33.14,-0.11632231404958678,-15.999999999999998,-0.9999999999999996,2.0000000000000004,-1.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IBM,Bear Call Spread,-19.3,-43.0,43.0,157.0,64.87,33.67,-0.12292993630573248,-12.0,-0.9999999999999996,0.9999999999999996,-1.9999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
