Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_39.5,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,P_39.5,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0
MO,Bear Call Spread,-16.01,-22.999999999999993,22.999999999999993,77.0,57.92,42.08,-0.20792207792207795,-12.0,-1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-25.26,-132.99999999999997,132.99999999999997,117.00000000000003,37.96,62.04,-0.21589743589743585,-32.0,2.0000000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-36.17,-183.99999999999997,183.99999999999997,166.00000000000003,37.96,62.04,-0.2178915662650602,-44.00000000000001,3.0,-1.0000000000000002,0.9999999999999999,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-32.4,-109.0,109.0,141.0,40.75,59.25,-0.2297872340425532,-33.00000000000001,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-20.47,-112.99999999999999,112.99999999999999,87.00000000000001,35.24,64.76,-0.23528735632183903,-25.0,3.0000000000000013,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-30.27,-76.0,76.0,124.0,43.58,56.42,-0.24411290322580645,-27.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-18.02,-28.0,28.0,72.0,50.77,49.23,-0.25027777777777777,-13.0,-1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-16.09,-88.99999999999997,88.99999999999997,61.00000000000003,31.29,68.71,-0.26377049180327855,-17.999999999999993,2.0000000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-36.95,-161.99999999999997,161.99999999999997,138.00000000000003,33.9,66.1,-0.2677536231884058,-38.00000000000001,3.0,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-12.79,-4.999999999999993,4.999999999999993,45.00000000000001,62.08,37.92,-0.28422222222222215,-6.0,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-19.18,-34.0,34.0,66.0,45.01,54.99,-0.2906060606060606,-14.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-33.17,-87.0,87.0,113.0,37.96,62.04,-0.29353982300884957,-27.000000000000007,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-32.15,-142.0,142.0,108.0,31.29,68.71,-0.29768518518518516,-31.000000000000007,4.000000000000001,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-31.04,-54.0,54.0,96.0,40.75,59.25,-0.3233333333333333,-21.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-14.22,-7.0,7.0,43.0,55.08,44.92,-0.33069767441860465,-6.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-27.77,-117.99999999999997,117.99999999999997,82.00000000000003,28.78,71.22,-0.3386585365853657,-24.0,3.0,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-28.38,-67.00000000000001,67.00000000000001,82.99999999999999,35.24,64.76,-0.34192771084337353,-20.000000000000007,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-15.22,-57.99999999999997,57.99999999999997,42.00000000000003,27.56,72.44,-0.36238095238095214,-10.999999999999998,2.0000000000000004,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-26.25,-34.000000000000014,34.000000000000014,65.99999999999999,37.96,62.04,-0.3977272727272728,-14.000000000000002,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-14.38,-14.000000000000014,14.000000000000014,35.999999999999986,42.16,57.84,-0.3994444444444446,-7.000000000000006,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-24.0,-43.0,43.0,57.0,32.59,67.41,-0.42105263157894735,-13.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-26.9,-86.99999999999997,86.99999999999997,63.00000000000003,25.2,74.8,-0.42698412698412674,-17.000000000000004,3.0,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-18.79,-6.0,6.0,44.0,47.89,52.11,-0.4270454545454545,-7.000000000000001,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-11.09,-26.99999999999997,26.99999999999997,23.00000000000003,24.07,75.93,-0.4821739130434777,-4.999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-22.77,-55.99999999999997,55.99999999999997,44.00000000000003,21.88,78.12,-0.5174999999999996,-10.999999999999998,1.9999999999999991,-1.0000000000000002,0.9999999999999999,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-21.87,-10.0,10.0,40.0,33.9,66.1,-0.5467500000000001,-6.999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-23.13,-12.0,12.0,38.0,27.56,72.44,-0.6086842105263157,-6.000000000000005,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Call Spread,-21.68,-18.99999999999997,18.99999999999997,31.00000000000003,17.89,82.11,-0.6993548387096767,-6.000000000000005,0.9999999999999996,-1.0000000000000002,0.9999999999999999,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-34.55,232.0,218.0,232.0,42.16,57.84,-0.14892241379310345,-60.00000000000001,0.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,Bear Put Spread,-28.65,190.0,110.0,190.0,47.89,52.11,-0.15078947368421053,-42.00000000000001,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,Bear Put Spread,-33.87,222.0,178.0,222.0,43.58,56.42,-0.15256756756756756,-55.00000000000001,0.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,Bear Put Spread,-31.78,208.0,142.0,208.0,45.01,54.99,-0.15278846153846154,-49.00000000000001,-2.0000000000000004,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,Bear Put Spread,-30.96,193.00000000000003,206.99999999999997,193.00000000000003,40.75,59.25,-0.1604145077720207,-56.00000000000001,3.0,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MO,Bear Put Spread,-23.4,145.0,55.0,145.0,55.08,44.92,-0.16137931034482758,-27.0,-3.9999999999999996,2.0000000000000004,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
MO,Bear Put Spread,-25.17,155.0,195.0,155.0,39.35,60.65,-0.16238709677419355,-47.0,4.000000000000001,-1.0000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,Bear Put Spread,-30.28,183.00000000000003,166.99999999999997,183.00000000000003,42.16,57.84,-0.16546448087431692,-51.0,2.0000000000000004,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MO,Bear Put Spread,-25.05,151.00000000000003,98.99999999999997,151.00000000000003,46.45,53.55,-0.1658940397350993,-38.0,-1.0000000000000009,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
MO,Bear Put Spread,-28.19,169.00000000000003,130.99999999999997,169.00000000000003,43.58,56.42,-0.16680473372781063,-45.0,0.0,0.0,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MO,Bear Put Spread,-24.49,145.0,155.0,145.0,40.75,59.25,-0.16889655172413792,-42.00000000000001,3.0000000000000013,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,Bear Put Spread,-19.27,113.0,87.0,113.0,45.01,54.99,-0.17053097345132742,-29.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,Bear Put Spread,-22.4,131.0,119.0,131.0,42.16,57.84,-0.17099236641221374,-36.00000000000001,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,Bear Put Spread,-29.78,173.0,77.0,173.0,50.77,49.23,-0.17213872832369942,-35.0,-3.9999999999999996,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
MO,Bear Put Spread,-19.81,106.00000000000004,43.99999999999996,106.00000000000004,53.65,46.35,-0.1868867924528301,-23.0,-1.9999999999999991,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
MO,Bear Put Spread,-26.19,134.00000000000003,65.99999999999997,134.00000000000003,49.33,50.67,-0.19544776119402982,-31.0,-1.9999999999999991,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
MO,Bear Put Spread,-24.95,126.0,174.0,126.0,36.59,63.41,-0.198015873015873,-40.0,4.999999999999999,-1.0000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,Bear Put Spread,-24.6,121.0,29.0,121.0,57.92,42.08,-0.20330578512396696,-20.000000000000007,-3.9999999999999996,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
MO,Bear Put Spread,-14.02,68.00000000000001,31.999999999999986,68.00000000000001,50.77,49.23,-0.20617647058823524,-14.000000000000002,-0.9999999999999981,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
MO,Bear Put Spread,-24.26,116.0,134.0,116.0,37.96,62.04,-0.20913793103448278,-35.0,3.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,Bear Put Spread,-20.4,96.0,54.0,96.0,47.89,52.11,-0.2125,-22.000000000000004,-0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
MO,Bear Put Spread,-22.17,102.0,98.0,102.0,39.35,60.65,-0.2173529411764706,-28.999999999999996,1.9999999999999991,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,Bear Put Spread,-19.38,87.0,13.0,87.0,63.44,36.56,-0.22275862068965516,-13.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
MO,Bear Put Spread,-22.15,98.0,152.0,98.0,32.59,67.41,-0.2260204081632653,-33.0,4.999999999999999,-2.0000000000000004,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-19.04,84.0,66.0,84.0,42.16,57.84,-0.22666666666666666,-21.999999999999996,0.9999999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,Bear Put Spread,-21.47,88.0,112.0,88.0,33.9,66.1,-0.2439772727272727,-28.000000000000004,3.9999999999999996,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-21.01,82.00000000000003,17.99999999999997,82.00000000000003,56.5,43.5,-0.2562195121951219,-16.000000000000004,-1.9999999999999991,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
MO,Bear Put Spread,-18.77,73.0,127.0,73.0,30.02,69.98,-0.2571232876712329,-25.0,4.999999999999999,-1.0000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-19.38,74.0,76.0,74.0,36.59,63.41,-0.2618918918918919,-22.000000000000004,1.9999999999999991,-1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-18.09,63.0,87.0,63.0,31.29,68.71,-0.28714285714285714,-20.0,3.9999999999999996,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-16.25,56.0,44.0,56.0,39.35,60.65,-0.29017857142857145,-15.000000000000002,0.9999999999999981,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
MO,Bear Put Spread,-20.18,67.0,33.0,67.0,45.01,54.99,-0.3011940298507463,-14.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
MO,Bear Put Spread,-16.0,49.0,51.0,49.0,32.59,67.41,-0.32653061224489793,-14.000000000000002,1.9999999999999991,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
