Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_38.0,C_38.5,C_39.0,C_39.5,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,P_38.0,P_38.5,P_39.0,P_39.5,P_40.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0
WBA,Bear Call Spread,-26.34,-59.0,59.0,141.0,50.42,48.21,-0.18680851063829787,-26.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-20.57,-140.0,140.0,110.0,35.47,63.16,-0.187,-32.0,3.0000000000000013,-1.0000000000000002,0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-23.62,-124.0,124.0,126.0,38.67,59.95,-0.18746031746031747,-34.0,2.0000000000000018,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-22.46,-36.0,36.0,114.0,54.82,43.8,-0.19701754385964912,-19.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-29.33,-103.0,103.0,147.0,42.26,56.36,-0.19952380952380952,-35.0,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-25.63,-74.0,74.0,126.0,44.85,53.77,-0.2034126984126984,-27.999999999999996,-1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-17.18,-17.999999999999993,17.999999999999993,82.0,59.32,39.3,-0.2095121951219512,-12.0,-3.0000000000000013,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-21.58,-48.0,48.0,102.0,48.99,49.64,-0.21156862745098037,-21.000000000000004,-1.0000000000000009,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-21.29,-103.0,103.0,97.0,36.49,62.13,-0.21948453608247423,-26.999999999999996,2.0000000000000018,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBA,Bear Call Spread,-13.63,-90.0,90.0,60.0,31.07,67.56,-0.22716666666666668,-18.000000000000004,3.0000000000000013,-1.0000000000000002,0.9999999999999999,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
