Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_71.0,C_71.5,C_72.0,C_72.5,C_73.0,C_73.5,C_74.0,C_74.5,C_75.0,C_75.5,C_76.0,C_76.5,C_77.0,C_77.5,P_71.0,P_71.5,P_72.0,P_72.5,P_73.0,P_73.5,P_74.0,P_74.5,P_75.0,P_75.5,P_76.0,P_76.5,P_77.0,P_77.5
CL,Bear Call Spread,-24.56,-95.0,95.0,155.0,48.26,51.74,-0.1584516129032258,-26.0,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-38.94,-260.0,260.0,240.0,39.86,60.14,-0.16224999999999998,-48.0,1.9999999999999991,0.0,1.0000000000000002,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-35.49,-186.0,186.0,214.0,41.88,58.12,-0.16584112149532712,-40.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-36.94,-130.0,130.0,220.0,47.17,52.83,-0.1679090909090909,-34.0,-2.0000000000000004,0.9999999999999996,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-48.52,-266.0,266.0,284.0,39.86,60.14,-0.17084507042253522,-51.0,0.9999999999999996,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-29.78,-76.0,76.0,174.0,51.58,48.42,-0.17114942528735633,-24.0,-2.0000000000000004,0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-34.14,-101.0,101.0,199.0,49.36,50.64,-0.17155778894472362,-29.000000000000004,-2.0000000000000004,0.9999999999999996,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-45.07,-192.0,192.0,258.0,42.91,57.09,-0.17468992248062015,-43.00000000000001,-0.9999999999999996,0.0,-1.0000000000000002,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-18.47,-44.999999999999986,44.999999999999986,105.00000000000001,53.83,46.17,-0.17590476190476187,-14.999999999999996,-1.0000000000000009,0.9999999999999996,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,Bear Call Spread,-44.96,-295.0,295.0,255.0,37.9,62.1,-0.17631372549019608,-51.0,1.9999999999999991,0.0,1.0000000000000002,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
