Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_190.0,C_192.5,C_195.0,C_197.5,C_200.0,C_202.5,C_205.0,C_207.5,P_190.0,P_192.5,P_195.0,P_197.5,P_200.0,P_202.5,P_205.0,P_207.5
MCD,Bear Call Spread,-58.82,-290.0,290.0,210.0,30.91,69.09,-0.2800952380952381,-15.999999999999993,1.0000000000000002,-2.0000000000000018,1.9999999999999991,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-96.1,-444.9999999999999,444.9999999999999,305.0000000000001,28.54,71.46,-0.3150819672131146,-23.0,1.0000000000000002,-4.000000000000001,3.9999999999999996,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-51.91,-95.0,95.0,155.0,39.97,60.03,-0.3349032258064516,-9.000000000000002,0.0,0.0,0.0,-1.0000000000000002,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-51.9,-115.0,115.0,135.0,32.76,67.24,-0.3844444444444444,-7.9999999999999964,1.0000000000000002,-1.0000000000000009,0.9999999999999981,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-89.2,-284.9999999999999,284.9999999999999,215.0000000000001,25.41,74.59,-0.41488372093023235,-15.000000000000002,0.0,-3.0,3.0000000000000013,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-51.91,-130.0,130.0,120.0,27.27,72.73,-0.4325833333333333,-7.9999999999999964,0.0,-1.0000000000000009,1.0000000000000009,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Call Spread,-87.29,-104.99999999999989,104.99999999999989,145.0000000000001,22.72,77.28,-0.6019999999999995,-7.000000000000006,0.0,-1.9999999999999991,2.0000000000000004,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCD,Bear Put Spread,-96.46,740.0000000000001,509.9999999999999,740.0000000000001,46.24,53.76,-0.1303513513513513,-46.0,0.0,7.000000000000001,-5.000000000000002,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
MCD,Bear Put Spread,-84.55,645.0000000000001,354.9999999999999,645.0000000000001,49.79,50.21,-0.13108527131782943,-37.99999999999999,-1.0000000000000002,7.000000000000001,-6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
MCD,Bear Put Spread,-89.34,681.0,819.0,681.0,39.28,60.72,-0.13118942731277533,-52.0,0.0,0.0,0.9999999999999996,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MCD,Bear Put Spread,-72.64,530.0000000000001,219.9999999999999,530.0000000000001,54.7,45.3,-0.1370566037735849,-28.999999999999993,-1.0000000000000002,7.000000000000001,-6.0,-1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
MCD,Bear Put Spread,-84.14,550.0,450.0,550.0,43.95,56.05,-0.1529818181818182,-37.0,0.0,4.000000000000001,-2.0000000000000018,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
MCD,Bear Put Spread,-72.23,455.0,295.0,455.0,47.41,52.59,-0.15874725274725277,-28.999999999999996,-1.0000000000000002,4.000000000000001,-3.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
