Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_150.0,C_152.5,C_155.0,C_157.5,C_160.0,C_162.5,C_165.0,C_167.5,C_170.0,P_150.0,P_152.5,P_155.0,P_157.5,P_160.0,P_162.5,P_165.0,P_167.5,P_170.0
MMM,Bear Call Spread,-32.87,-65.99999999999997,65.99999999999997,184.00000000000003,58.36,41.59,-0.17864130434782605,-8.999999999999996,-1.0000000000000002,1.9999999999999991,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-37.64,-40.0,40.0,210.0,66.07,33.89,-0.17923809523809525,-8.000000000000002,0.0,2.0000000000000018,-2.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-57.92,-445.0,445.0,305.0,35.18,64.78,-0.1899016393442623,-24.0,1.0000000000000002,-2.0000000000000018,1.9999999999999991,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-53.86,-260.0,260.0,240.0,37.36,62.59,-0.22441666666666665,-17.000000000000004,1.0000000000000002,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-54.05,-510.0,510.0,240.0,28.56,71.39,-0.22520833333333332,-20.000000000000007,0.9999999999999999,-4.000000000000001,3.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-35.52,-110.0,110.0,140.0,41.08,58.88,-0.2537142857142857,-8.999999999999996,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-52.38,-305.0,305.0,195.0,30.25,69.7,-0.26861538461538464,-15.000000000000002,0.0,-2.0000000000000018,1.9999999999999991,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-51.89,-70.0,70.0,180.0,49.02,50.93,-0.2882777777777778,-9.000000000000002,0.0,1.0000000000000009,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-45.7,-350.0,350.0,150.0,23.46,76.5,-0.3046666666666667,-12.0,0.9999999999999999,-3.0,2.0000000000000004,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-48.33,-120.0,120.0,130.0,32.33,67.63,-0.37176923076923074,-8.000000000000007,0.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-44.04,-145.0,145.0,105.0,25.0,74.95,-0.41942857142857143,-6.999999999999995,0.0,-1.0000000000000009,0.9999999999999996,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Call Spread,-41.65,-165.0,165.0,85.0,18.35,81.6,-0.49,-5.000000000000004,0.9999999999999999,-1.9999999999999991,1.0000000000000009,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMM,Bear Put Spread,-40.72,567.0,683.0,567.0,44.09,55.86,-0.07181657848324514,-43.99999999999999,1.0000000000000002,0.9999999999999981,0.9999999999999996,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
