Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_46.5,C_47.0,C_47.5,C_48.0,C_48.5,C_49.0,C_49.5,C_50.0,C_50.5,P_46.5,P_47.0,P_47.5,P_48.0,P_48.5,P_49.0,P_49.5,P_50.0,P_50.5
KO,Bear Call Spread,-7.24,-63.0,63.0,87.0,49.82,50.16,-0.0832183908045977,-27.999999999999996,-0.9999999999999981,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-10.35,-176.0,176.0,124.0,43.01,56.98,-0.08346774193548387,-48.00000000000001,6.000000000000001,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-4.14,-9.000000000000004,9.000000000000004,41.0,71.01,28.98,-0.10097560975609755,-7.999999999999999,-2.0000000000000018,0.9999999999999999,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-7.25,-34.0,34.0,66.0,54.35,45.63,-0.10984848484848485,-19.0,-1.9999999999999991,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-3.34,-20.0,20.0,30.0,52.09,47.89,-0.11133333333333333,-9.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-5.28,-4.0,4.0,46.0,77.83,22.16,-0.11478260869565218,-6.0,-3.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-8.1,-137.0,137.0,63.0,34.21,65.77,-0.12857142857142856,-29.000000000000004,8.0,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-7.39,-95.0,95.0,55.0,36.36,63.63,-0.13436363636363635,-24.0,4.999999999999999,0.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-6.35,-57.0,57.0,43.0,38.54,61.44,-0.14767441860465116,-17.000000000000004,3.0,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-6.91,-11.000000000000007,11.000000000000007,38.99999999999999,60.96,39.03,-0.17717948717948723,-9.000000000000002,-1.9999999999999991,0.0,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-4.99,-24.0,24.0,26.0,40.76,59.22,-0.19192307692307692,-8.999999999999996,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-8.12,-108.00000000000001,108.00000000000001,41.999999999999986,28.11,71.88,-0.19333333333333338,-20.000000000000007,6.999999999999999,0.0,1.0000000000000002,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-7.4,-66.00000000000001,66.00000000000001,33.999999999999986,30.08,69.9,-0.21764705882352953,-15.000000000000002,3.9999999999999982,0.0,1.0000000000000002,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-6.37,-28.000000000000014,28.000000000000014,21.999999999999986,32.12,67.86,-0.2895454545454547,-8.000000000000007,1.9999999999999991,0.0,1.0000000000000002,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-7.75,-74.0,74.0,26.0,20.93,79.06,-0.2980769230769231,-12.0,5.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-7.03,-32.0,32.0,18.0,22.61,77.38,-0.39055555555555554,-6.999999999999995,1.9999999999999991,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KO,Bear Call Spread,-8.72,-34.0,34.0,16.0,15.04,84.94,-0.545,-5.000000000000004,3.0000000000000013,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
