Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_167.5,C_170.0,C_172.5,C_175.0,C_177.5,C_180.0,C_182.5,C_185.0,P_167.5,P_170.0,P_172.5,P_175.0,P_177.5,P_180.0,P_182.5,P_185.0
UNP,Bear Call Spread,-78.97,-210.0,210.0,290.0,40.62,59.38,-0.2723103448275862,-19.0,1.0000000000000002,0.0,1.0000000000000009,-1.0000000000000002,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-76.19,-260.00000000000006,260.00000000000006,239.99999999999994,33.02,66.98,-0.3174583333333334,-15.999999999999993,1.0000000000000002,-1.9999999999999991,2.0000000000000004,-1.0000000000000002,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-92.78,-15.0,15.0,235.0,52.46,47.54,-0.39480851063829786,-10.000000000000004,0.0,0.9999999999999981,-1.0000000000000009,-0.9999999999999999,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-78.99,-299.9999999999999,299.9999999999999,200.0000000000001,25.64,74.36,-0.39494999999999975,-10.999999999999998,0.9999999999999999,1.0000000000000009,0.9999999999999996,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-82.28,-50.0,50.0,200.0,44.16,55.84,-0.4114,-10.000000000000004,0.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-81.68,-75.00000000000006,75.00000000000006,174.99999999999994,35.25,64.75,-0.46674285714285735,-8.999999999999996,1.0000000000000002,-1.0000000000000009,1.0000000000000009,-1.0000000000000002,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-79.5,-100.0,100.0,150.0,27.33,72.67,-0.53,-6.999999999999995,0.0,-0.9999999999999981,0.9999999999999996,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Call Spread,-79.49,-119.99999999999989,119.99999999999989,130.0000000000001,20.03,79.97,-0.6114615384615378,-4.0000000000000036,0.9999999999999999,1.9999999999999991,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNP,Bear Put Spread,-51.34,691.0,809.0,691.0,44.55,55.45,-0.07429811866859624,-56.00000000000001,1.0000000000000002,3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UNP,Bear Put Spread,-54.85,644.0,606.0,644.0,46.53,53.47,-0.08517080745341615,-49.0,1.0000000000000002,4.000000000000001,-0.9999999999999996,-3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
