Name,total_calls,termination,Prob Bearish,Prob Bullish,Direction_Price,F1,Stock_Last,F2,sigma1,Impl_Vol,sigma2
EEM,13,True,0.888000872342137,0.11199912765786302,Bullish,42.71425984694614,43.29,49.4173454360608,0.1197669585055102,0.23989999999999997,0.06162654786253182
EWJ,15,True,0.6253547988315307,0.37464520116846933,Bullish,53.63726759150848,54.33,55.4384058768486,0.2846433377980755,0.22760000000000002,0.023606592576595163
EWZ,21,True,0.5,0.5,Bearish,32.604691562032,32.54,32.604691562032,0.4779343067387669,0.4854,0.4779343067387669
FAS,29,True,0.29897650843052764,0.7010234915694724,Bearish,27.501691547642448,34.97,36.30655137381483,0.01,0.7793000000000001,0.19204919289414876
FEZ,16,True,0.2737892026628875,0.7262107973371126,Bearish,33.055463584094596,36.55,37.35290771048255,0.01,0.3065,0.09724005298993431
HYG,1,True,0.95986105208888,0.04013894791112005,Bullish,88.40152583059236,85.39,100.3966031596594,0.5732012748967115,0.1373,0.8364408191081647
IBB,35,True,0.6084842046446312,0.39151579535536885,Bullish,132.01743673836526,134.37,137.78261765671343,0.35741476351055607,0.3105,0.12407851611711196
ITB,21,True,0.23273901613758863,0.7672609838624114,Bearish,45.57631470565372,51.66,52.786278951608324,0.01,0.3661,0.15290651352852033
IWM,44,True,0.3304546685919618,0.6695453314080382,Bearish,141.19505436781452,147.36,150.04906855273848,0.38066141122113756,0.3421,0.21946131026841229
IYR,25,True,0.2834211860171409,0.716578813982859,Bearish,80.13951985146258,82.06,82.83305100538911,0.40472439461180365,0.281,0.16185534408527455
LABU,10,True,0.9825084361573574,0.01749156384264261,Bullish,53.38079243708278,53.69,70.89763455582488,0.9888953286748275,1.232,0.01
SSO,45,True,0.0,1.0,Bearish,121.72550357511363,139.7,132.7415456621799,0.634155812622429,0.46759999999999996,0.3063277626292384
TNA,25,True,0.3384943514790185,0.6615056485209815,Bearish,24.475000728656145,29.51,31.858586857175805,0.571653868605606,1.0090000000000001,0.6245790588175849
TQQQ,61,True,0.33077011473315093,0.669229885266849,Bearish,104.88463739391217,119.38,126.06863038068484,0.8350348747772358,0.8390000000000001,0.46233895800814817
UPRO,32,True,0.286609222219052,0.7133907777809481,Bearish,41.8924096479827,52.21,54.117622431921475,0.10470491487971076,0.7997,0.1274858797416054
XBI,38,True,0.37034123980198536,0.6296587601980146,Bearish,102.68563825840457,109.33,112.78893681343244,0.46520074828914104,0.4158,0.2613709187693751
XLE,21,True,0.3462045095093583,0.6537954904906417,Bearish,35.19455164457306,36.03,36.48678070175209,0.5632656173547531,0.4269,0.28242695993664313
XLI,23,True,0.16760182864061018,0.8323981713593898,Bearish,67.67248301050708,71.73,72.50132104683335,0.4244115558527163,0.2691,0.18643103567679323
XLK,26,True,0.28463166158589415,0.7153683384141059,Bearish,107.16554311605047,110.43,111.83349298226787,0.343900200053168,0.2726,0.15296729786045915
