Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Call_Strike_1,Call_Strike_1_alloc,Call_Strike_4,Call_Strike_4_alloc,Call_Strike_5,Call_Strike_5_alloc
LABU,Bull Call Spread,3.27,60.0,340.0,60.0,18.03,79.27,0.0545,5.666666666666667,7.000000000000001,0.0,-3.0,0.0,0.0,66.0,1.0,,,70.0,-1.0
LABU,Bull Call Spread,0.23,50.0,250.0,50.0,18.24,79.06,0.0046,5.0,5.0,0.0,-1.9999999999999991,0.0,0.0,66.0,1.0,69.0,-1.0,,
