,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
51,T,Bull Call Spread,-1.47,438.0,2555.5190737433195,438.0,33.37,66.6,-0.003356164383561644,204.0,51.99999999999999,-9.0,6.000000000000001,5.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,T,Bull Call Spread,-2.3,654.0000000000001,2689.5190737433195,654.0000000000001,49.52,50.46,-0.0035168195718654426,264.0,42.00000000000001,-9.0,6.000000000000001,5.0,5.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T,Bull Call Spread,-2.56,550.0000000000001,2593.5190737433195,550.0000000000001,49.52,50.46,-0.004654545454545454,225.99999999999997,44.00000000000001,-9.0,6.000000000000001,3.0000000000000004,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,T,Bull Call Spread,-1.91,276.00000000000006,1703.0127158288797,276.00000000000006,33.37,66.6,-0.006920289855072462,136.00000000000003,37.999999999999986,-6.0,4.000000000000001,0.0,0.0,0.0,5.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
41,T,Bull Call Spread,-5.55,694.0000000000001,2749.5190737433195,694.0000000000001,49.52,50.46,-0.007997118155619595,282.0,44.00000000000001,-9.0,6.000000000000001,5.0,5.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
55,T,Bull Call Spread,-1.6,181.0,883.5063579144398,181.0,49.52,50.46,-0.008839779005524863,81.0,17.0,-3.0,2.0,2.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,T,Bull Call Spread,-3.21,362.0,1767.0127158288797,362.0,49.52,50.46,-0.008867403314917126,162.0,34.0,-6.0,4.0,4.0,0.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,T,Bull Call Spread,-5.83,608.0000000000001,2635.5190737433195,608.0000000000001,49.52,50.46,-0.009588815789473683,244.0,42.00000000000001,-9.0,6.000000000000001,5.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,T,Bull Call Spread,-6.7,498.0,1831.0127158288797,498.0,49.52,50.46,-0.013453815261044177,194.0,26.0,-6.0,4.0,4.0,4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,T,Bull Call Spread,-3.35,249.0,915.5063579144398,249.0,49.52,50.46,-0.013453815261044177,97.0,13.0,-3.0,2.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,T,Bull Call Spread,-6.45,402.0,1827.0127158288797,402.0,49.52,50.46,-0.016044776119402984,179.99999999999997,36.0,-6.0,4.0,4.0,0.0,4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
66,T,Bull Call Spread,-3.23,201.0,913.5063579144398,201.0,49.52,50.46,-0.01606965174129353,89.99999999999999,18.0,-3.0,2.0,2.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
6,T,Bull Call Spread,-6.95,394.0,1735.0127158288797,394.0,49.52,50.46,-0.01763959390862944,155.99999999999997,28.000000000000004,-6.0,4.0,2.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,T,Bull Call Spread,-3.48,197.0,867.5063579144398,197.0,49.52,50.46,-0.01766497461928934,77.99999999999999,14.000000000000002,-3.0,2.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,T,Bull Call Spread,-9.94,538.0,1891.0127158288797,538.0,49.52,50.46,-0.018475836431226765,211.99999999999997,28.000000000000004,-6.0,4.0,4.0,4.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
34,T,Bull Call Spread,-4.97,269.0,945.5063579144398,269.0,49.52,50.46,-0.018475836431226765,105.99999999999999,14.000000000000002,-3.0,2.0,2.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
99,T,Bull Call Spread,-6.77,336.00000000000006,1793.0127158288797,336.00000000000006,33.37,66.6,-0.02014880952380952,163.00000000000003,40.99999999999999,-6.0,4.000000000000001,0.0,0.0,0.0,5.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0
49,T,Bull Call Spread,-6.73,316.0,1713.0127158288797,316.0,49.52,50.46,-0.02129746835443038,142.0,34.0,-6.0,4.0,4.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,T,Bull Call Spread,-3.37,158.0,856.5063579144398,158.0,49.52,50.46,-0.021329113924050635,71.0,17.0,-3.0,2.0,2.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,T,Bull Call Spread,-17.37,-33.0,72.55229695187157,781.5063579144398,66.6,33.37,-0.022226306701271504,-32.99999999999999,-19.0,3.0,-2.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,T,Bull Call Spread,-10.22,452.0,1777.0127158288797,452.0,49.52,50.46,-0.02261061946902655,173.99999999999997,26.0,-6.0,4.0,4.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,T,Bull Call Spread,-5.11,226.0,888.5063579144398,226.0,49.52,50.46,-0.02261061946902655,86.99999999999999,13.0,-3.0,2.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,T,Bull Call Spread,-3.57,153.0,861.5063579144398,153.0,49.52,50.46,-0.02333333333333333,73.00000000000001,19.000000000000007,-3.0,1.9999999999999998,0.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
64,T,Bull Call Spread,-10.08,421.0,1808.0127158288797,421.0,49.52,50.46,-0.023942992874109264,181.0,32.999999999999986,-6.0,4.000000000000001,5.0,0.0,5.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
32,T,Bull Call Spread,-14.44,591.0000000000001,1888.0127158288797,591.0000000000001,49.52,50.46,-0.024433164128595596,221.0,23.0,-6.0,4.000000000000001,5.0,5.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
54,T,Bull Call Spread,-19.0,-4.0,93.55229695187157,760.5063579144398,66.6,33.37,-0.024983354579841105,-24.0,-20.0,3.0,-2.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
101,T,Bull Call Spread,-19.38,-19.0,29.44770304812843,745.5063579144398,79.77,20.2,-0.02599575415321166,-25.000000000000007,-17.0,3.0,-2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0
