Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_51.0,C_52.0,C_53.0,C_54.0,C_55.0,C_56.0,C_57.0,C_58.0,C_59.0,C_60.0,C_61.0,C_62.0,C_63.0,C_64.0,C_65.0,C_66.0,C_67.0,P_51.0,P_52.0,P_53.0,P_54.0,P_55.0,P_56.0,P_57.0,P_58.0,P_59.0,P_60.0,P_61.0,P_62.0,P_63.0,P_64.0,P_65.0,P_66.0,P_67.0
BMY,Bear Put Spread,-43.46,152.00000000000003,147.99999999999997,152.00000000000003,35.93,64.07,-0.2859210526315789,0.9736842105263154,-20.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-20.19,68.0,332.0,68.0,16.94,83.06,-0.2969117647058824,4.882352941176471,-10.999999999999998,2.0000000000000004,-0.9999999999999996,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-45.2,152.00000000000003,47.99999999999997,152.00000000000003,49.82,50.17,-0.29736842105263156,0.3157894736842103,-14.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-13.5,45.0,155.0,45.0,18.42,81.57,-0.3,3.4444444444444446,-7.000000000000001,1.0000000000000002,-0.9999999999999996,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-24.06,77.0,123.0,77.0,27.47,72.53,-0.31246753246753245,1.5974025974025974,-12.0,2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-73.5,232.0,168.0,232.0,37.29,62.71,-0.3168103448275862,0.7241379310344828,-26.999999999999996,1.0000000000000009,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-41.98,131.0,169.0,131.0,30.63,69.37,-0.32045801526717554,1.2900763358778626,-19.0,2.0000000000000004,-0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-19.85,61.0,239.0,61.0,17.42,82.57,-0.3254098360655738,3.918032786885246,-10.999999999999998,2.0000000000000004,-2.0000000000000004,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-38.96,118.00000000000003,81.99999999999997,118.00000000000003,37.97,62.03,-0.33016949152542363,0.6949152542372877,-14.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMY,Bear Put Spread,-22.03,65.00000000000003,34.99999999999997,65.00000000000003,42.12,57.87,-0.33892307692307677,0.5384615384615378,-7.000000000000001,0.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
