Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-461.1,-1120.0,4000.0000000000114,1120.0,3100.000000000828,2880.0000000000114,51.05,48.95,0.38888888888888734,1.0763888888891722,Call,118.0,10.0,Call,120.0,-20.0,Call,126.0,10.0,-259.9999999999998,0.0,10.000000000000009,0.0,-19.999999999999996
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-1423.16,-910.0,5500.0000000000055,910.0,2890.000000000814,4590.0000000000055,44.72,55.28,0.19825708061002156,0.6296296296298062,Call,117.0,10.0,Call,119.0,-20.0,Call,126.5,10.0,-349.99999999999983,0.0,19.999999999999996,-9.999999999999998,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-1562.54,-830.0000000000001,6000.0000000000055,830.0000000000001,3310.000000000814,5170.0000000000055,44.19,55.81,0.16054158607350083,0.6402321083173714,Call,116.0,10.0,Call,118.5,-20.0,Call,127.0,10.0,-420.0,9.999999999999998,19.999999999999996,-19.999999999999996,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-781.87,-380.0,2500.0000000000114,380.0,1860.000000000828,2120.0000000000114,44.19,55.81,0.17924528301886697,0.8773584905664237,Call,118.5,10.0,Call,120.0,-20.0,Call,124.0,10.0,-169.99999999999994,0.0,-9.999999999999986,19.999999999999996,-9.999999999999998
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-1460.25,-1020.0,5500.0000000000055,1020.0,3000.000000000814,4480.0000000000055,42.62,57.38,0.22767857142857115,0.6696428571430381,Call,116.5,10.0,Call,118.5,-20.0,Call,126.0,10.0,-369.99999999999994,9.999999999999993,9.999999999999998,-10.00000000000002,-20.0
XLK,SELECT SECTOR SPDR TRUST TECHNOLOGY ETF,Bearish Call Modified Butterfly,-1377.61,-810.0,4500.000000000011,810.0,2290.000000000814,3690.000000000011,41.57,58.43,0.21951219512195058,0.6205962059622784,Call,117.5,10.0,Call,119.0,-20.0,Call,125.0,10.0,-279.9999999999999,0.0,10.000000000000009,0.0,-9.999999999999998
