Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-489.61,-270.0,2000.0000000000027,270.0,2265.000000000374,1730.0000000000027,45.49,54.51,0.15606936416184947,1.3092485549135089,Call,54.5,10.0,Call,56.5,-20.0,Call,60.5,10.0,-170.0000000000001,-9.999999999999986,10.000000000000009,-5.551115123125783e-15,0.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-383.18,-250.0,1500.0000000000027,250.0,1745.0000000003884,1250.0000000000027,45.49,54.51,0.19999999999999957,1.3960000000003077,Call,55.5,10.0,Call,57.0,-20.0,Call,60.0,10.0,-129.9999999999999,1.1102230246251565e-14,1.1102230246251565e-14,-5.551115123125783e-15,0.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-330.7,-500.0,2000.0000000000027,500.0,2495.000000000374,1500.0000000000027,44.22,55.78,0.3333333333333327,1.6633333333335796,Call,54.0,10.0,Call,56.0,-20.0,Call,60.0,10.0,-169.99999999999994,10.000000000000009,-10.000000000000009,-5.551115123125783e-15,0.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-244.85,-350.0,2000.0000000000057,350.0,3345.0000000003597,1650.0000000000057,42.95,57.05,0.21212121212121138,2.0272727272729383,Call,52.0,10.0,Call,55.0,-20.0,Call,60.0,10.0,-180.00000000000043,0.0,19.999999999999996,0.0,0.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-359.83,-140.0,1000.0000000000028,140.0,1135.0000000003884,860.0000000000028,41.68,58.31,0.16279069767441806,1.3197674418609124,Call,56.0,10.0,Call,57.0,-20.0,Call,59.0,10.0,-90.00000000000003,1.1102230246251565e-14,1.1102230246251565e-14,9.999999999999998,0.0
GDXJ,VANECK VECTORS ETF TRUST JR GOLD MINERS E ETF,Bearish Call Modified Butterfly,-296.42,-440.0,1500.0000000000057,440.0,1935.000000000374,1060.0000000000057,40.42,59.58,0.4150943396226393,1.8254716981135506,Call,54.5,10.0,Call,56.0,-20.0,Call,59.0,10.0,-109.99999999999997,10.000000000000009,-10.000000000000009,0.0,0.0
GILD,GILEAD SCIENCES INC COM,Bullish Put Modified Butterfly,-651.72,-380.0,2500.0000000000027,380.0,1349.9999999995157,2120.0000000000027,45.29,54.71,0.1792452830188677,0.6367924528299594,Put,63.5,10.0,Put,67.0,-20.0,Put,68.0,10.0,320.0000000000001,-19.999999999999996,39.99999999999999,-19.999999999999996,10.000000000000004
IBM,INTERNATIONAL BUS MACH CORP COM,Bullish Put Modified Butterfly,-559.29,-380.0,2000.0000000000114,380.0,2344.9999999990655,1620.0000000000114,40.27,59.73,0.23456790123456625,1.4475308641969438,Put,125.0,10.0,Put,129.0,-20.0,Put,131.0,10.0,180.00000000000006,-9.999999999999986,-9.999999999999975,9.999999999999986,20.000000000000007
JPM,JP MORGAN CHASE & CO COM,Bullish Put Modified Butterfly,-474.08,-650.0,3000.0000000000114,650.0,3635.0000000007813,2350.0000000000114,45.61,54.39,0.27659574468084974,1.546808510638623,Put,101.0,10.0,Put,107.0,-20.0,Put,110.0,10.0,209.99999999999997,-10.000000000000004,20.000000000000018,1.1102230246251565e-14,-5.551115123125783e-15
JPM,JP MORGAN CHASE & CO COM,Bullish Put Modified Butterfly,-551.88,-320.0,2000.0000000000114,320.0,2305.0000000007813,1680.0000000000114,44.08,55.92,0.1904761904761892,1.3720238095242652,Put,102.0,10.0,Put,106.0,-20.0,Put,108.0,10.0,139.99999999999986,-9.999999999999998,1.1102230246251565e-14,-1.1102230246251565e-14,9.999999999999998
JPM,JP MORGAN CHASE & CO COM,Bullish Put Modified Butterfly,-306.4,-680.0,2000.0000000000114,680.0,2665.0000000007813,1320.0000000000114,40.56,59.44,0.5151515151515107,2.0189393939399682,Put,103.0,10.0,Put,107.0,-20.0,Put,109.0,10.0,130.00000000000006,0.0,1.1102230246251565e-14,10.000000000000009,-5.551115123125783e-15
MRK,MERCK & CO INC COM,Bearish Call Modified Butterfly,-352.08,-280.0,2000.0000000000027,280.0,1254.9999999993975,1720.0000000000027,56.96,43.04,0.16279069767441834,0.7296511627903463,Call,84.0,10.0,Call,85.0,-20.0,Call,88.0,10.0,-209.99999999999983,-20.000000000000018,9.999999999999998,-30.000000000000014,-10.0
