Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2446.22,-1150.0,8500.000000000005,1150.0,5619.999999995536,7350.0000000000055,49.05,49.33,0.1564625850340135,0.7646258503395281,Put,142.0,10.0,Put,155.0,-20.0,Put,159.5,10.0,100.0,0.0,60.00000000000006,-9.999999999999986,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2497.81,-2050.0,11500.000000000005,2050.0,9019.999999995338,9450.000000000005,48.92,49.47,0.2169312169312168,0.9544973544968606,Put,140.0,10.0,Put,158.5,-20.0,Put,165.5,10.0,150.00000000000006,0.0,89.99999999999994,-29.999999999999982,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2910.5,-2000.0,13000.000000000011,2000.0,9969.999999995282,11000.000000000011,48.78,49.6,0.18181818181818163,0.9063636363632065,Put,138.5,10.0,Put,159.5,-20.0,Put,167.5,10.0,210.00000000000014,0.0,119.99999999999993,-29.999999999999982,20.000000000000007
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2634.14,-2100.0,12000.000000000011,2100.0,9569.999999995282,9900.000000000011,48.24,50.14,0.21212121212121188,0.966666666666189,Put,140.0,10.0,Put,159.5,-20.0,Put,167.0,10.0,180.00000000000006,0.0,89.99999999999994,-29.999999999999982,20.000000000000007
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2672.23,-1650.0,10500.000000000011,1650.0,8119.999999995338,8850.000000000011,47.71,50.68,0.18644067796610148,0.9175141242932574,Put,141.5,10.0,Put,158.5,-20.0,Put,165.0,10.0,140.00000000000003,0.0,79.99999999999999,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2845.24,-1350.0,10000.000000000005,1350.0,7319.999999995366,8650.000000000005,47.3,51.08,0.1560693641618496,0.8462427745659378,Put,142.0,10.0,Put,158.0,-20.0,Put,164.0,10.0,120.00000000000011,0.0,59.99999999999987,-19.99999999999997,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2718.14,-1800.0,11000.000000000011,1800.0,8769.999999995282,9200.000000000011,47.17,51.22,0.19565217391304324,0.9532608695647034,Put,141.5,10.0,Put,159.5,-20.0,Put,166.5,10.0,160.00000000000014,0.0,79.99999999999999,-19.99999999999997,19.999999999999996
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2719.74,-1550.0,10000.000000000005,1550.0,7519.999999995338,8450.000000000005,46.9,51.48,0.18343195266272178,0.8899408284018145,Put,142.5,10.0,Put,158.5,-20.0,Put,164.5,10.0,140.00000000000003,0.0,69.99999999999993,-19.99999999999997,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2993.55,-1400.0,10500.000000000011,1400.0,7869.999999995309,9100.000000000011,46.63,51.75,0.15384615384615366,0.8648351648346483,Put,142.0,10.0,Put,159.0,-20.0,Put,165.5,10.0,139.99999999999986,0.0,59.999999999999964,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2603.21,-1600.0,9500.000000000011,1600.0,7069.999999995338,7900.000000000011,46.23,52.15,0.20253164556961997,0.8949367088601681,Put,143.5,10.0,Put,158.5,-20.0,Put,164.0,10.0,130.00000000000006,0.0,49.999999999999915,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2370.15,-2050.0,10000.000000000005,2050.0,8019.999999995281,7950.0000000000055,46.23,52.15,0.2578616352201256,1.0088050314459465,Put,143.5,10.0,Put,159.5,-20.0,Put,165.5,10.0,150.0,0.0,69.99999999999993,-19.99999999999997,20.000000000000007
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2849.8,-1200.0,9000.000000000011,1200.0,6169.999999995366,7800.000000000011,45.7,52.68,0.15384615384615363,0.7910256410250458,Put,144.0,10.0,Put,158.0,-20.0,Put,163.0,10.0,120.00000000000011,0.0,49.999999999999915,-19.99999999999997,-1.1102230246251565e-14
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2570.98,-1550.0,9000.000000000005,1550.0,7019.999999995281,7450.0000000000055,44.91,53.48,0.20805369127516762,0.9422818791939968,Put,145.0,10.0,Put,159.5,-20.0,Put,165.0,10.0,130.00000000000017,0.0,49.999999999999915,-19.99999999999997,20.000000000000007
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2381.21,-950.0,7000.0000000000055,950.0,5419.999999995338,6050.0000000000055,44.12,54.26,0.15702479338842962,0.89586776859427,Put,147.0,10.0,Put,158.5,-20.0,Put,163.0,10.0,100.00000000000009,0.0,39.99999999999986,-19.99999999999997,-5.551115123125783e-15
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2312.26,-1250.0,7500.0000000000055,1250.0,6219.999999995281,6250.0000000000055,43.86,54.53,0.19999999999999982,0.995199999999244,Put,147.0,10.0,Put,159.5,-20.0,Put,164.5,10.0,120.00000000000011,0.0,49.999999999999915,-19.99999999999997,20.0
JNUG,DIREXION SHARES ETF TRUST DIRXN DLY JR GLD MIN IDX 2X,Bullish Put Modified Butterfly,-2330.79,-1100.0,7000.0000000000055,1100.0,5569.999999995281,5900.0000000000055,42.95,55.44,0.18644067796610153,0.9440677966093687,Put,148.0,10.0,Put,159.5,-20.0,Put,164.0,10.0,100.00000000000009,0.0,29.999999999999893,-9.999999999999986,10.000000000000004
