Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
NVDA,NVIDIA CORP COM,Bullish Put Modified Butterfly,-1338.49,-1800.0,10000.000000000011,1800.0,11755.0000000595,8200.000000000011,58.21,41.79,0.21951219512195091,1.4335365853731077,Put,505.0,10.0,Put,525.0,-20.0,Put,535.0,10.0,79.99999999999989,0.0,100.0,-50.0,9.999999999999986
NVDA,NVIDIA CORP COM,Bullish Put Modified Butterfly,-1622.76,-1100.0,7500.000000000023,1100.0,8555.0000000595,6400.000000000023,55.66,44.34,0.1718749999999994,1.336718750009292,Put,510.0,10.0,Put,525.0,-20.0,Put,532.5,10.0,59.99999999999979,0.0,69.99999999999993,-29.999999999999982,0.0
NVDA,NVIDIA CORP COM,Bullish Put Modified Butterfly,-1475.03,-1400.0,7500.000000000023,1400.0,8855.000000060181,6100.000000000023,53.91,46.09,0.22950819672131062,1.4516393442721554,Put,512.5,10.0,Put,527.5,-20.0,Put,535.0,10.0,60.00000000000014,0.0,50.0,-19.99999999999993,20.000000000000018
NVDA,NVIDIA CORP COM,Bullish Put Modified Butterfly,-1262.82,-800.0,5000.000000000023,800.0,5755.000000059499,4200.000000000023,53.43,46.57,0.19047619047618944,1.3702380952522544,Put,515.0,10.0,Put,525.0,-20.0,Put,530.0,10.0,29.999999999999716,0.0,50.0,-9.999999999999964,9.999999999999986
NVDA,NVIDIA CORP COM,Bullish Put Modified Butterfly,-1463.95,-700.0,5000.000000000023,700.0,5655.000000060181,4300.000000000023,51.36,48.64,0.16279069767441776,1.315116279083756,Put,517.5,10.0,Put,527.5,-20.0,Put,532.5,10.0,40.000000000000036,0.0,29.999999999999893,-9.999999999999964,10.000000000000053
