Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
BA,BOEING CO COM,Bearish Call Modified Butterfly,-955.94,-950.0,5000.0000000000055,950.0,5949.999999995481,4050.0000000000055,44.88,55.12,0.23456790123456758,1.469135802468018,Call,162.5,10.0,Call,167.5,-20.0,Call,177.5,10.0,-199.99999999999991,-9.999999999999998,-29.999999999999982,9.999999999999986,-2.7755575615628914e-15
BA,BOEING CO COM,Bearish Call Modified Butterfly,-636.2,-550.0,2500.0000000000055,550.0,3049.999999995339,1950.0000000000055,43.74,56.26,0.28205128205128127,1.5641025641001693,Call,167.5,10.0,Call,170.0,-20.0,Call,175.0,10.0,-89.99999999999994,0.0,-10.000000000000009,9.999999999999998,0.0
