Underlying,Description,Name,Expected PnL,Cost of Strategy,Total Debit,Leg_profit,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Leg_Profit_Factor,Profit_Factor,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc,Strike_3_type,Strike_3,Strike_3_alloc,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho
UAL,UNITED AIRLINES HOLDINGS COM,Bullish Put Modified Butterfly,-68.61,-269.99999999999943,1000.0000000000014,269.99999999999943,1240.0000000002756,730.0000000000019,54.22,45.78,0.3698630136986284,1.6986301369866743,Put,36.0,10.0,Put,38.0,-20.0,Put,39.0,10.0,119.99999999999993,-10.000000000000009,10.000000000000009,0.0,0.0
UAL,UNITED AIRLINES HOLDINGS COM,Bullish Put Modified Butterfly,-110.16,-339.9999999999991,1000.0000000000014,339.9999999999991,1310.0000000002892,660.0000000000023,45.08,54.91,0.515151515151512,1.9848484848489163,Put,37.0,10.0,Put,39.0,-20.0,Put,40.0,10.0,120.00000000000011,10.000000000000032,10.000000000000009,0.0,-10.0
