Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Strike_1_type,Strike_1,Strike_1_alloc,Strike_2_type,Strike_2,Strike_2_alloc
CSCO,Bear Put Spread,-7.5,31.0,19.0,31.0,45.29,54.71,-0.24193548387096775,0.6129032258064516,-11.999999999999995,2.0000000000000018,0.0,0.0,0.0,Put,42.0,-1.0,Put,42.5,1.0
IBM,Bull Call Spread,-7.73,213.0,187.0,213.0,50.55,49.45,-0.03629107981220658,0.8779342723004695,29.999999999999993,0.0,-1.0000000000000009,0.9999999999999996,1.0,Call,122.0,1.0,Call,126.0,-1.0
IBM,Bull Call Spread,-2.75,144.0,156.0,144.0,47.83,52.17,-0.019097222222222224,1.0833333333333333,23.0,0.9999999999999996,-2.0000000000000004,0.9999999999999996,1.0,Call,123.0,1.0,Call,126.0,-1.0
IBM,Bull Call Spread,-8.5,179.0,221.0,179.0,44.16,55.84,-0.04748603351955307,1.23463687150838,30.000000000000004,2.0000000000000004,-3.0,1.9999999999999991,1.0,Call,123.0,1.0,Call,127.0,-1.0
IBM,Bull Call Spread,-6.8,92.0,108.0,92.0,43.24,56.76,-0.07391304347826087,1.173913043478261,14.999999999999996,0.9999999999999996,-1.0000000000000009,0.9999999999999996,1.0,Call,124.0,1.0,Call,126.0,-1.0
JNPR,Bull Call Spread,-6.74,29.0,21.0,29.0,43.99,56.0,-0.23241379310344829,0.7241379310344828,18.000000000000004,2.0000000000000018,-1.0,0.0,0.0,Call,23.5,1.0,Call,24.0,-1.0
ORCL,Bear Put Spread,-8.93,32.999999999999986,17.000000000000014,32.999999999999986,45.99,53.85,-0.27060606060606074,0.5151515151515158,-9.000000000000002,0.0,0.0,0.0,0.0,Put,55.0,-1.0,Put,55.5,1.0
WDC,Bull Call Spread,-7.53,129.0,21.0,129.0,74.88,25.12,-0.058372093023255814,0.16279069767441862,21.999999999999996,-3.9999999999999996,3.0,-1.0,0.0,Call,31.0,1.0,Call,32.5,-1.0
WDC,Bull Call Spread,-4.99,161.0,39.0,161.0,71.03,28.97,-0.030993788819875776,0.2422360248447205,29.000000000000004,-5.0,3.0,-1.0,0.0,Call,31.0,1.0,Call,33.0,-1.0
WDC,Bull Call Spread,-9.25,146.0,104.0,146.0,50.99,49.01,-0.06335616438356165,0.7123287671232876,35.0,-2.0000000000000018,0.0,0.0,1.0,Call,32.5,1.0,Call,35.0,-1.0
WDC,Bull Call Spread,-8.42,141.0,159.0,141.0,45.12,54.88,-0.05971631205673759,1.127659574468085,40.0,2.0000000000000004,-1.0000000000000002,0.0,1.0,Call,33.0,1.0,Call,36.0,-1.0
WDC,Bull Call Spread,-5.2,49.0,51.0,49.0,43.68,56.32,-0.10612244897959185,1.0408163265306123,13.999999999999996,0.9999999999999981,0.0,0.9999999999999999,1.0,Call,34.0,1.0,Call,35.0,-1.0
WDC,Bull Call Spread,3.16,71.0,129.0,71.0,40.83,59.17,0.04450704225352113,1.8169014084507042,26.0,3.9999999999999996,-1.0000000000000002,0.9999999999999999,1.0,Call,34.0,1.0,Call,36.0,-1.0
