Name,total_calls,termination,Prob Bearish,Prob Bullish,Direction_Price,F1,Stock_Last,F2,sigma1,Impl_Vol,sigma2
AAPL,17,True,0.9762581844494508,0.023741815550549217,Bullish,493.2339493080652,497.48,679.1504437391274,0.42386860723836994,0.4777,0.27987994707727776
ACN,9,True,1.0,0.0,Bullish,237.8062782962492,237.49,228.4843339597551,0.19398470537324253,0.2404,0.01
ADBE,24,True,0.6863429715820637,0.3136570284179363,Bullish,469.3992910165611,473.22,482.3307165623601,0.40991837068226167,0.4263,0.18388163262098392
ADI,13,True,0.6969270543580744,0.30307294564192555,Bullish,114.00867875450683,116.02,118.66199095110025,0.3130211043138707,0.2999,0.01
ADP,15,True,0.44647394849735034,0.5535260515026497,Bearish,134.74574506618868,138.08,140.9161063171523,0.30873939355304514,0.2659,0.118771280766321
ADS,23,False,0.2451171875,0.7548828125,Bearish,64.489755859375,43.19,37.917783203125,0.09708984374999999,0.7254999999999999,0.23681640625
ADSK,18,True,0.238783750228747,0.761216249771253,Bearish,229.36677109587654,248.27,254.16650162150586,0.99,0.496,0.3949798867941278
AMAT,19,True,0.9139992187291957,0.08600078127080435,Bullish,62.00718226990718,62.27,66.1383377352904,0.39058145681149264,0.38689999999999997,0.01
AVGO,23,True,0.5804580453466989,0.41954195465330113,Bullish,322.42090647335306,330.02,341.22933151507397,0.46065957013959896,0.4339,0.21609223868275057
CSCO,7,True,1.0,0.0,Bullish,42.27346334634678,42.25,57.67552819321467,0.21750683652594494,0.2503,0.2798827994156494
CTSH,13,True,0.09736092245615406,0.902639077543846,Bearish,61.656346016239446,65.72,66.13683597690226,0.99,0.2801,0.22635924720311362
CTXS,18,True,0.8022834875900082,0.19771651240999177,Bullish,143.8427150451499,143.23,140.15796562938485,0.07054837973655224,0.3724,0.99
GLW,7,True,0.6054483226228018,0.3945516773771982,Bullish,31.207588362929776,32.47,34.01861739910885,0.20824125889547812,0.3094,0.01
IBM,12,True,0.8256075005017983,0.17439249949820168,Bullish,124.86798428460747,123.16,115.76194789278352,0.1552523556895996,0.252,0.01
INTC,12,True,0.03967784149793052,0.9603221585020695,Bearish,48.4070534254838,49.28,49.339498937341,0.99,0.3055,0.24560782267275796
INTU,16,True,0.01017682372033336,0.9898231762796666,Bearish,163.29839200778542,322.23,324.3152868300718,0.989999996324001,0.354,0.3499778304983333
JBL,10,True,0.7847389314840761,0.21526106851592386,Bullish,34.05190031669451,34.22,34.27176012768681,0.21567752081410185,0.3857,0.99
JNPR,6,True,0.1919529412071148,0.8080470587928852,Bearish,23.179554583009143,23.62,23.570331810153313,0.6563387636500804,0.3123,0.18081638977846123
KLAC,12,True,0.6775218706854956,0.32247812931450437,Bullish,201.53183488552003,203.97,208.10083595681166,0.5022458013387681,0.3836,0.01
LRCX,21,True,0.0074599572249997095,0.9925400427750003,Bearish,176.72,353.44,354.5803816132743,0.9899999655191974,0.4048,0.3729812689084094
MA,15,True,0.09537126502697058,0.9046287349730294,Bearish,332.4663676175755,337.1,337.7374918392048,0.3688188513508064,0.28350000000000003,0.22682555872952756
MCHP,17,True,0.0037794144597434846,0.9962205855402565,Bearish,53.965,107.93,107.8770626708326,0.99,0.39380000000000004,0.37167289075968846
MRVL,13,True,0.22871666053250442,0.7712833394674956,Bearish,33.06359371240344,33.46,33.60237454927463,0.99,0.5071,0.4473756437817363
MSFT,11,True,0.5600735909198,0.4399264090802,Bullish,211.96633825142467,213.02,214.8591894547367,0.3760452704715063,0.335,0.15154842746493613
MU,9,True,0.8378435390334334,0.16215646096656655,Bullish,42.479828996515515,42.66,43.47711810287605,0.42903151220490565,0.4461,0.07633192860868389
NTAP,16,True,0.7515911304671083,0.24840886953289165,Bullish,40.068509096635374,41.25,44.05895962853762,0.7627621557169031,0.5359,0.01
NVDA,23,True,0.9880889994960345,0.011911000503965541,Bullish,504.94301739358986,507.34,692.6469293722945,0.44775429548161316,0.4738,0.27988341672229305
NXPI,18,True,0.37709698194958163,0.6229030180504184,Bearish,114.92073995366027,121.5,125.14133452724874,0.35306829139453855,0.374,0.2356640113251075
OLED,11,True,0.7818143529022276,0.21818564709777244,Bullish,179.53434930726527,179.89,181.2813713631731,0.4386627377441495,0.413,0.08346695696989705
ORCL,14,True,0.9472372155738366,0.052762784426163445,Bullish,55.21727577546554,55.19,55.219604783778394,0.1877140541072975,0.34259999999999996,0.99
QCOM,18,True,0.1415143373387362,0.8584856626612638,Bearish,109.33144109895186,113.0,113.1249957711291,0.99,0.3994,0.24878259216218318
STX,10,True,0.7186155084086201,0.2813844915913799,Bullish,43.80225739836275,44.84,47.71167383045844,0.27681831523646366,0.3273,0.01
SWKS,20,True,0.7135889606878512,0.28641103931214884,Bullish,140.98358429417172,142.05,143.90469252077372,0.4133676276047297,0.3732,0.01
TSM,14,True,0.12204721046274694,0.8779527895372531,Bearish,77.1658817329772,78.34,78.52496112923384,0.99,0.4014,0.2735737835073026
TXN,16,True,0.3249305547233984,0.6750694452766016,Bearish,132.54936310150293,140.33,143.99499388290434,0.13866041309499327,0.2847,0.16849551932685464
V,8,True,0.9727703323179371,0.02722966768206292,Bullish,203.92525879727023,204.13,211.43540528273013,0.22091487004520935,0.2671,0.6744921763982448
WDC,9,True,1.0,0.0,Bullish,33.751324788712544,33.71,46.022824216974406,0.42008879366663954,0.4282,0.2798827063015104
XLNX,19,True,0.9005217514360019,0.09947824856399812,Bullish,101.13960559452866,102.0,108.52108568448968,0.2547430754537142,0.3653,0.99
