Name,total_calls,termination,Prob Bearish,Prob Bullish,Direction_Price,F1,Stock_Last,F2,sigma1,Impl_Vol,sigma2
AGG,4,True,0.9892877979386193,0.010712202061380682,Bullish,119.50209924611124,119.43,117.31510871697164,0.03346287315113398,0.056100000000000004,0.9899999345521504
CWI,6,True,0.8897575689469144,0.11024243105308562,Bullish,23.02312647447754,24.09,36.135,0.20687718676109948,0.5291,0.99
DFEN,6,True,0.02534863606134015,0.9746513639386598,Bearish,6.13,12.26,12.368476240236626,0.99,1.0086,0.8082916954263607
DXD,4,True,0.6105365291415037,0.3894634708584963,Bullish,16.02493810078914,16.38,16.9892939358937,0.16287397895149525,0.4409,0.5994161621960057
EDC,11,True,0.18474451670797737,0.8152554832920227,Bearish,49.34562612799413,58.06,59.8468149428694,0.7867884339545501,0.6612,0.47795869146735687
EFA,12,True,0.01443860059589908,0.9855613994041009,Bearish,41.319028939414125,63.63,63.783879192286186,0.5671150479177265,0.19899999999999998,0.1344523511414312
EWZ,14,True,0.5,0.5,Bearish,31.32409495699973,31.25,31.32409495699973,0.4413302886720848,0.4506,0.4413302886720848
FAS,20,True,0.481764176374568,0.5182358236254321,Bearish,37.29690495887836,38.08,38.74766332340863,0.8580050949698073,0.7061,0.34322181264563734
FHLC,5,True,0.5507822801618911,0.4492177198381089,Bullish,52.562239252345634,52.94,53.218511337669135,0.5184718434022795,0.2,0.01
FV,5,True,0.45724184522150957,0.5427581547784904,Bearish,33.406668270744944,34.51,35.86553365173453,0.01,0.2927,0.5592581095036833
FXD,6,True,0.6861182497803477,0.31388175021965226,Bullish,40.92678595833131,41.38,41.909595383414015,0.06117584757017441,0.30010000000000003,0.99
GDX,20,True,0.9910812048485784,0.008918795151421577,Bullish,42.6326558174265,42.74,58.352336606663336,0.472623078907725,0.49119999999999997,0.2798827382348307
GSIE,3,True,0.5228329311168268,0.4771670688831732,Bullish,27.780909265863517,28.0,28.154577567256133,0.9866376751288615,0.20440000000000003,0.14913641768863747
HEFA,4,True,1.0,0.0,Bullish,27.30917243883181,27.38,37.37937253863041,0.3781839868475871,0.26649999999999996,0.27988278695978336
IGIB,2,True,0.9985647007787822,0.0014352992212177673,Bullish,61.48217575863692,61.51,83.95583108743782,0.050879040258009225,0.0587,0.2798828125
IGSB,1,True,1.0,0.0,Bullish,55.02672946373796,55.02,55.84398283141084,0.03306568604082059,0.0349,0.01
INDL,11,True,0.4915599646210801,0.5084400353789199,Bearish,27.559027879624068,29.06,30.644916185504833,0.8890780233890448,0.7685,0.36633379280933154
ITOT,6,True,0.01475635851788948,0.9852436414821105,Bearish,48.88892373498544,75.36,75.64503448809836,0.5671218500778336,0.1838,0.15296477973275335
IVV,30,True,0.3198850594647667,0.6801149405352334,Bearish,329.8970295394729,335.95,338.5462990951972,0.29090366047170607,0.21719999999999998,0.0877754455513954
IXJ,5,True,0.011632858223079063,0.988367141776921,Bearish,46.671885488203685,71.92,72.27936882759292,0.5670758178190567,0.1672,0.1056959814525194
IXUS,3,True,0.3312519705007455,0.6687480294992545,Bearish,55.58666368149037,58.13,59.522126201777915,0.028275897214487526,0.1108,0.01
IYF,4,True,0.686970258240324,0.313029741759676,Bullish,113.21714660699628,117.08,122.75563542852825,0.14376243579922346,0.23870000000000002,0.08761523376222431
IYR,19,True,0.17450507169209684,0.8254949283079032,Bearish,78.29117561846381,82.82,83.7733116245768,0.2661833885372459,0.2519,0.1676367628405286
KBE,6,True,0.589380566417727,0.41061943358227304,Bullish,32.284201242528844,32.59,33.104018174404786,0.5623335104275055,0.41840000000000005,0.1215799238602871
KBWB,7,True,1.0,0.0,Bullish,39.68013425451695,39.89,54.45918660520583,0.40579299530383756,0.37329999999999997,0.2798828117135824
KRE,16,True,0.5,0.5,Bearish,39.601107463871884,39.65,39.601107463871884,0.4214766090390501,0.42369999999999997,0.4214766090390501
KWEB,12,True,0.8362652035596593,0.16373479644034072,Bullish,67.62448695836751,67.93,69.29075893373576,0.42609690899672936,0.3834,0.1249115523695551
MCHI,9,True,0.008139304798614586,0.9918606952013854,Bearish,36.2077363402447,72.34,72.62949160469717,0.99,0.3055,0.2651118578216244
MDY,18,True,0.5043873898313249,0.4956126101686751,Bullish,350.5040245734379,353.27,355.99273165635896,0.32442398705275727,0.2539,0.09169860516074783
MTUM,14,True,0.2353234036897931,0.7646765963102069,Bearish,138.70612554121175,142.04,142.6860331502102,0.38212424598509676,0.1985,0.07764832042576902
NAIL,10,True,0.7980522482127647,0.20194775178723534,Bullish,42.101476500457004,43.88,50.77054288567328,0.9299971412359084,1.0421,0.01
NUGT,53,True,0.0355713490693627,0.9644286509306373,Bearish,96.11146759291748,104.6,104.61308505913085,0.06573228269976009,0.9561,0.99
PBW,8,True,0.023603019202563406,0.9763969807974366,Bearish,33.2467953205801,52.14,52.52220921875276,0.6763963084631257,0.36920000000000003,0.28983698793062446
REM,4,True,0.382947898709899,0.617052101290101,Bearish,26.207468120164467,26.57,26.74367234660499,0.3938881398604209,0.3196,0.16097562840110785
REMX,8,True,0.7870043961289325,0.21299560387106753,Bullish,42.863381621667884,43.55,46.32772805479886,0.3381076606701534,0.3871,0.01
RING,8,True,0.9905821093122439,0.009417890687756114,Bullish,35.361780701570694,35.43,48.37212937030043,0.4969978819890702,0.47200000000000003,0.27988333057587383
SCHC,3,True,0.6981222212717447,0.3018777787282553,Bullish,32.0135288956674,32.16,32.38613894332054,0.2177918740634682,0.18,0.010328574835073304
SCHD,6,True,1.0,0.0,Bullish,56.347339405666055,56.24,55.571711602365056,0.17187155198529608,0.2086,0.11968083592308776
SCHV,5,True,0.010834019226921064,0.9891659807730789,Bearish,34.397771320909605,53.02,53.23899534766566,0.5670686406357572,0.2217,0.13336704081050282
SHYG,2,True,0.35981439929040404,0.640185600709596,Bearish,43.891049429002734,44.29,45.02016767327239,0.2714200171951785,0.0993,0.01
SOXL,22,True,0.02391677053759041,0.9760832294624096,Bearish,120.22,240.44,242.04814762565033,0.99,0.91,0.8215971268672655
SPSM,4,True,0.257291487022083,0.742708512977917,Bearish,28.826433061587526,29.19,29.26341745675922,0.01,0.2917,0.37802946869916326
SPXL,14,True,0.24626970607700527,0.7537302939229947,Bearish,47.93842434566604,52.87,54.291225605369256,0.847045685204168,0.6794,0.32251787013412253
SPY,35,True,0.2197163647007171,0.7802836352992829,Bearish,323.04651255960925,334.57,337.8198894204777,0.27914039713922467,0.2132,0.10574091786343778
TECL,25,True,0.3661926991287235,0.6338073008712766,Bearish,265.3462417422072,294.78,311.3899926196353,0.9781534053782329,0.8853,0.49721687518694646
TIP,4,True,0.9973572318836516,0.0026427681163484484,Bullish,126.21303855941069,126.17,128.16792344678515,0.06821339603985618,0.0674,0.99
