Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Profit_Factor,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,Put_Strike_6,Put_Strike_6_alloc,Put_Strike_10,Put_Strike_10_alloc,Put_Strike_7,Put_Strike_7_alloc,Put_Strike_11,Put_Strike_11_alloc
UPRO,Bear Put Spread,3.03,35.0,165.0,35.0,19.39,80.61,0.08657142857142856,4.714285714285714,-4.000000000000001,0.9999999999999999,0.0,0.0,0.0,,,,,43.0,-1.0,45.0,1.0
UPRO,Bear Put Spread,1.45,35.0,165.0,35.0,19.32,80.68,0.041428571428571426,4.714285714285714,-3.0,0.9999999999999999,-0.9999999999999996,0.0,0.0,42.5,-1.0,44.5,1.0,,,,
