,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
0,SWK,Bull Call Spread,39.82,465.0,5668.945627935992,465.0,32.4,67.56,0.08563440860215053,42.00000000000001,3.0,-18.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SWK,Bull Call Spread,32.42,440.0,5593.945627935992,440.0,32.4,67.56,0.07368181818181818,38.99999999999999,3.0,-18.999999999999996,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SWK,Bear Call Spread,49.76,460.0000000000001,5673.945627935992,460.0000000000001,32.4,67.56,0.10817391304347823,42.00000000000001,3.0,-18.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,SWK,Bear Call Spread,51.44,410.0000000000001,5623.945627935992,478.95023010863224,32.4,67.56,0.10740155608304588,39.0,3.0,-18.0,9.000000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SWK,Bear Call Spread,37.59,370.0,5463.945627935992,370.0,32.4,67.56,0.1015945945945946,32.99999999999999,3.0,-18.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,SWK,Bear Call Spread,42.46,410.0,5623.945627935992,478.9502301086321,32.4,67.56,0.08865221755999475,39.0,3.0,-20.0,12.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SWK,Bear Call Spread,39.76,470.0,5663.945627935992,470.0,32.4,67.56,0.08459574468085106,42.00000000000001,3.0,-20.0,12.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,SWK,Bear Call Spread,36.74,350.0,5483.945627935992,481.0497698913679,32.4,67.56,0.07637463376876107,33.0,3.0,-17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SWK,Bear Call Spread,9.78,499.9999999999999,5633.945627935992,499.9999999999999,32.4,67.56,0.019560000000000004,41.99999999999999,3.0,-20.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,SWK,Bull Put Spread,13.18,470.0,5679.945627935993,470.0,34.7,65.26,0.02804255319148936,-40.0,3.0,-20.0,9.000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
