,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
7,T,Bull Call Spread,2.04,323.0,1756.0127158288797,323.0,49.52,50.46,0.00631578947368421,151.99999999999997,36.00000000000001,-6.0,3.9999999999999996,3.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
6,T,Bull Call Spread,2.06,484.0,2609.5190737433195,484.0,49.52,50.46,0.004256198347107438,224.00000000000003,51.99999999999999,-9.0,6.000000000000001,5.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bull Call Spread,0.92,353.0,1726.0127158288797,353.0,49.52,50.46,0.002606232294617564,147.99999999999994,30.0,-6.0,3.9999999999999996,1.9999999999999998,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,T,Bull Call Spread,1.05,405.0,1774.0127158288797,405.0,49.52,50.46,0.0025925925925925925,166.99999999999997,28.999999999999996,-6.0,3.9999999999999996,3.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,T,Bull Call Spread,0.08,286.0,1743.0127158288797,286.0,33.37,66.6,0.0002797202797202797,144.0,40.0,-6.0,4.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
15,T,Bull Call Spread,0.04,143.0,871.5063579144398,143.0,33.37,66.6,0.0002797202797202797,72.0,20.0,-3.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
42,T,Bear Call Spread,26.78,249.0,3159.0254316577593,257.2091878074863,33.37,66.6,0.10411758704375702,162.0,76.0,-12.0,8.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
32,T,Bear Call Spread,28.41,220.0,3138.0254316577593,278.2091878074863,33.37,66.6,0.10211740389989925,152.99999999999997,77.0,-12.0,8.0,-1.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13,T,Bear Call Spread,29.28,186.0,3122.0254316577593,294.2091878074863,33.37,66.6,0.09952102522086824,145.0,78.99999999999999,-12.0,8.0,-1.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
18,T,Bear Call Spread,14.88,-5.0,1434.0127158288797,155.44770304812843,53.94,46.04,0.09572351156191082,32.00000000000001,38.0,-6.0,3.9999999999999996,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
41,T,Bear Call Spread,18.64,182.0,2361.5190737433195,200.6568908556147,33.37,66.6,0.09289489097791641,119.0,57.00000000000001,-9.0,6.0,0.0,0.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
31,T,Bear Call Spread,20.28,153.0,2340.5190737433195,221.6568908556147,33.37,66.6,0.09149275676347103,110.00000000000001,58.00000000000001,-9.0,6.0,-1.0,0.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
12,T,Bear Call Spread,21.15,119.0,2324.5190737433195,237.6568908556147,33.37,66.6,0.0889938428625215,102.0,60.0,-9.0,6.0,-1.0,-1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
21,T,Bear Call Spread,21.0,-58.0,2101.5190737433195,262.89540609625686,53.94,46.04,0.07987967652926972,30.00000000000003,57.999999999999986,-9.0,6.000000000000001,-2.0,-2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
30,T,Bear Call Spread,12.14,86.00000000000004,1543.0127158288797,165.1045939037432,33.37,66.6,0.07352914726938295,67.0,39.00000000000001,-6.0,3.9999999999999996,-1.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
40,T,Bear Call Spread,10.51,115.00000000000003,1564.0127158288797,144.10459390374317,33.37,66.6,0.07293313637884655,76.0,38.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11,T,Bear Call Spread,13.01,52.00000000000003,1527.0127158288797,181.10459390374317,33.37,66.6,0.07183694085040601,59.00000000000001,41.0,-6.0,3.9999999999999996,-1.0,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,T,Bear Call Spread,22.23,350.00000000000006,3258.0254316577593,365.5522969518714,33.37,66.6,0.0608120922378633,203.00000000000003,77.0,-12.0,8.0,-1.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T,Bear Call Spread,23.1,316.00000000000006,3242.0254316577593,381.5522969518714,33.37,66.6,0.06054215944849576,195.00000000000003,78.99999999999999,-12.0,8.0,-1.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,T,Bear Call Spread,16.15,105.00000000000003,2288.5190737433195,273.65689085561473,33.37,66.6,0.05901550642304479,90.99999999999999,59.0,-9.0,6.000000000000001,-2.0,0.0,-2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
37,T,Bear Call Spread,10.5,-37.99999999999997,1367.0127158288797,182.8954060962569,70.66,29.31,0.0574098618664807,12.00000000000001,36.0,-6.0,4.0,-2.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
35,T,Bear Call Spread,5.25,-18.999999999999986,683.5063579144398,91.44770304812845,70.66,29.31,0.0574098618664807,6.000000000000005,18.0,-3.0,2.0,-1.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
20,T,Bear Call Spread,12.25,-106.0,1335.0127158288797,214.89540609625686,53.94,46.04,0.05700447591007566,-3.9999999999999813,40.0,-6.0,4.0,-2.0,-2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
17,T,Bear Call Spread,6.12,-53.0,667.5063579144398,107.44770304812843,53.94,46.04,0.056957941644026615,-1.9999999999999907,20.0,-3.0,2.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
