,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,P_-1000000.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5
35,WDC,Bull Call Spread,175.89,497.0,6711.032635211039,497.0,31.79,68.14,0.3539034205231388,141.0,27.999999999999996,-21.000000000000004,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,WDC,Bull Call Spread,138.17,403.0,6505.032635211039,403.0,31.79,68.14,0.3428535980148883,118.0,24.0,-21.000000000000004,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,WDC,Bull Call Spread,113.52,343.0,4479.021756807359,343.0,31.79,68.14,0.3309620991253644,95.00000000000001,19.0,-14.000000000000002,6.0,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,WDC,Bull Call Spread,115.03,359.0,4513.021756807359,359.0,31.79,68.14,0.32041782729805013,100.0,19.0,-14.000000000000002,6.0,1.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,WDC,Bull Call Spread,116.94,373.0,4549.021756807359,373.0,31.79,68.14,0.31351206434316353,104.0,19.0,-14.000000000000002,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,WDC,Bull Call Spread,86.09,280.0,4342.021756807359,280.0,31.79,68.14,0.30746428571428575,80.0,15.999999999999998,-14.000000000000002,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,WDC,Bull Call Spread,120.09,437.0,6521.032635211039,437.0,31.79,68.14,0.2748054919908467,121.99999999999997,24.000000000000004,-21.000000000000004,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,WDC,Bull Call Spread,102.31,378.0,4494.021756807359,378.0,31.79,68.14,0.27066137566137566,98.00000000000001,20.0,-14.000000000000002,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,WDC,Bull Call Spread,51.15,189.0,2247.0108784036797,189.0,31.79,68.14,0.2706349206349206,49.00000000000001,10.0,-7.000000000000001,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,WDC,Bull Call Spread,52.67,205.0,2281.0108784036797,205.0,31.79,68.14,0.2569268292682927,54.0,10.0,-7.000000000000001,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,WDC,Bull Call Spread,105.33,410.0,4562.021756807359,410.0,31.79,68.14,0.25690243902439025,108.0,20.0,-14.000000000000002,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
