,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
8,NKE,Long Call Butterfly,10.58,53.999999999999886,2121.5355018691744,216.5996575996054,36.96,63.01,0.048845875922655546,7.9999999999999964,6.0,-6.999999999999998,4.999999999999999,3.469446951953614e-16,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,NKE,Long Call Butterfly,15.15,312.99999999999994,2512.5355018691744,312.99999999999994,33.49,66.49,0.04840255591054314,53.0,7.000000000000001,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NKE,Long Call Butterfly,20.48,433.0000000000001,4818.071003738349,433.0000000000001,33.49,66.49,0.047297921478060036,80.99999999999996,10.999999999999998,-18.000000000000004,14.000000000000002,0.9999999999999996,0.0,0.0,3.0,0.0,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NKE,Long Call Butterfly,10.84,251.9999999999999,2423.5355018691744,251.9999999999999,33.49,66.49,0.043015873015873035,41.99999999999999,8.000000000000002,-8.999999999999996,4.999999999999999,2.0000000000000004,2.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,NKE,Long Call Butterfly,18.39,386.0,4815.071003738349,431.13344746679877,33.49,66.49,0.04265500649057436,80.99999999999996,10.999999999999998,-18.000000000000004,14.000000000000002,0.9999999999999996,0.0,0.0,3.0,-4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,NKE,Long Call Butterfly,8.34,198.0,2377.5355018691744,198.0,33.49,66.49,0.04212121212121212,37.999999999999986,7.000000000000001,-8.999999999999996,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NKE,Long Call Butterfly,11.83,298.99999999999994,2426.5355018691744,298.99999999999994,49.66,50.32,0.03956521739130436,47.00000000000001,4.999999999999999,-6.999999999999998,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,NKE,Long Call Butterfly,6.51,175.0,2350.5355018691744,175.0,33.49,66.49,0.0372,32.00000000000001,7.000000000000001,-8.999999999999996,7.000000000000001,3.469446951953614e-16,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,NKE,Long Call Butterfly,10.4,301.0,2474.5355018691744,301.0,33.49,66.49,0.0345514950166113,53.000000000000014,4.999999999999999,-6.999999999999998,7.000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,NKE,Long Call Butterfly,7.07,205.0,2370.5355018691744,205.0,33.49,66.49,0.03448780487804878,39.000000000000014,4.999999999999999,-6.999999999999998,7.000000000000001,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
