,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
3,T,Bull Call Spread,-9.36,113.0,87.0,113.0,49.52,50.46,-0.08283185840707964,35.99999999999999,-1.9999999999999991,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2,T,Bull Call Spread,-7.74,93.0,57.0,93.0,49.52,50.46,-0.0832258064516129,26.999999999999996,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,T,Bull Call Spread,-8.49,79.0,71.0,79.0,49.52,50.46,-0.10746835443037975,27.999999999999996,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
5,T,Bull Call Spread,-6.87,59.0,41.0,59.0,49.52,50.46,-0.11644067796610169,19.0,-1.0000000000000009,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,T,Bull Call Spread,-9.5,70.0,30.0,70.0,49.52,50.46,-0.1357142857142857,16.999999999999993,-3.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T,Bull Call Spread,-6.86,50.0,50.0,50.0,49.52,50.46,-0.13720000000000002,19.0,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
7,T,Bull Call Spread,-5.23,30.0,20.0,30.0,49.52,50.46,-0.17433333333333334,10.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bull Call Spread,-7.87,41.000000000000014,8.999999999999986,41.000000000000014,66.24,33.74,-0.19195121951219507,7.9999999999999964,-1.9999999999999991,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T,Bull Call Spread,-5.62,24.0,26.0,24.0,33.37,66.6,-0.23416666666666666,8.999999999999996,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,T,Bull Call Spread,-8.63,36.0,14.0,36.0,49.52,50.46,-0.23972222222222225,8.999999999999996,-1.0000000000000009,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,T,Bear Call Spread,-2.63,-101.0,101.0,99.0,50.46,49.52,-0.026565656565656563,-35.99999999999999,1.9999999999999991,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,T,Bear Call Spread,-3.51,-66.99999999999999,66.99999999999999,83.00000000000001,50.46,49.52,-0.042289156626506015,-27.999999999999996,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,T,Bear Call Spread,-3.26,-82.0,82.0,68.0,50.46,49.52,-0.04794117647058823,-26.999999999999996,3.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,T,Bear Call Spread,-4.13,-47.999999999999986,47.999999999999986,52.000000000000014,50.46,49.52,-0.0794230769230769,-19.0,1.0000000000000009,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T,Bear Call Spread,-5.14,-38.0,38.0,62.0,50.46,49.52,-0.08290322580645161,-19.0,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,T,Bear Call Spread,-3.38,-15.0,15.0,35.0,66.6,33.37,-0.09657142857142857,-8.999999999999996,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,T,Bear Call Spread,-4.49,-56.0,56.0,44.0,33.74,66.24,-0.10204545454545455,-16.999999999999993,3.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T,Bear Call Spread,-5.76,-19.0,19.0,31.0,50.46,49.52,-0.1858064516129032,-10.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,T,Bear Call Spread,-5.36,-21.999999999999986,21.999999999999986,28.000000000000014,50.46,49.52,-0.19142857142857134,-8.999999999999996,1.0000000000000009,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bear Call Spread,-6.13,-27.0,27.0,23.0,33.74,66.24,-0.26652173913043475,-7.9999999999999964,1.9999999999999991,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bull Put Spread,-5.52,-53.0,53.0,785.5063579144401,66.24,33.74,-0.00702731422143531,38.0,-19.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
1,T,Bull Put Spread,-6.15,-75.0,75.0,813.5063579144401,66.24,33.74,-0.007559867160431981,47.0,-20.0,3.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
3,T,Bull Put Spread,-7.01,-131.0,131.0,857.5063579144401,49.52,50.46,-0.008174866501339039,67.0,-19.0,3.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
2,T,Bull Put Spread,-7.39,-99.0,99.0,839.5063579144401,66.24,33.74,-0.008802792177010726,57.99999999999999,-20.0,3.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0
8,T,Bull Put Spread,-3.86,-53.0,53.0,47.0,49.52,50.46,-0.08212765957446808,20.000000000000007,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
6,T,Bull Put Spread,-7.49,-72.0,72.0,78.0,49.52,50.46,-0.09602564102564103,29.000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
5,T,Bull Put Spread,-7.87,-40.0,40.0,60.0,49.52,50.46,-0.13116666666666668,19.999999999999996,-1.0000000000000009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0
7,T,Bull Put Spread,-4.24,-21.0,21.0,29.0,49.52,50.46,-0.14620689655172414,10.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
4,T,Bull Put Spread,-6.63,-16.0,16.0,34.0,49.52,50.46,-0.195,8.999999999999996,-1.0000000000000009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
9,T,Bull Put Spread,-6.62,-25.0,25.0,25.0,33.37,66.6,-0.2648,9.000000000000007,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
1,T,Bear Put Spread,3.15,78.0,810.5063579144401,78.0,33.74,66.24,0.04038461538461539,-47.0,20.0,-3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
3,T,Bear Put Spread,1.01,137.0,851.5063579144401,137.0,33.74,66.24,0.007372262773722628,-67.0,19.0,-3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
2,T,Bear Put Spread,0.39,106.0,832.5063579144401,106.0,33.74,66.24,0.003679245283018868,-57.99999999999999,20.0,-3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0
0,T,Bear Put Spread,-0.48,59.0,779.5063579144401,59.0,33.74,66.24,-0.008135593220338983,-38.0,19.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
6,T,Bear Put Spread,-4.51,84.0,66.0,84.0,50.46,49.52,-0.05369047619047619,-29.000000000000004,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
8,T,Bear Put Spread,-5.14,62.0,38.0,62.0,50.46,49.52,-0.08290322580645161,-20.000000000000007,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0
4,T,Bear Put Spread,-2.36,25.0,25.0,25.0,50.46,49.52,-0.0944,-8.999999999999996,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0
5,T,Bear Put Spread,-5.13,53.0,47.0,53.0,50.46,49.52,-0.09679245283018868,-19.999999999999996,1.0000000000000009,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0
9,T,Bear Put Spread,-6.38,38.0,12.0,38.0,66.6,33.37,-0.16789473684210526,-9.000000000000007,-1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0
7,T,Bear Put Spread,-5.76,31.0,19.0,31.0,50.46,49.52,-0.1858064516129032,-10.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0
9,T,Bull Put Ladder,-3.47,53.0,785.5063579144401,92.55229695187157,33.74,66.24,-0.03749231639063962,-37.99999999999998,21.000000000000004,-3.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
