,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
18,NKE,Bull Call Spread,-13.03,137.0,163.0,137.0,49.66,50.32,-0.09510948905109488,20.0,1.0000000000000009,-0.9999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NKE,Bull Call Spread,-19.36,193.0,207.0,193.0,49.66,50.32,-0.10031088082901554,26.999999999999996,0.0,-0.9999999999999996,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NKE,Bull Call Spread,-17.2,166.0,184.0,166.0,49.66,50.32,-0.1036144578313253,23.000000000000004,1.0000000000000009,-0.9999999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NKE,Bull Call Spread,-11.87,111.0,139.0,111.0,33.49,66.49,-0.10693693693693693,17.0,1.0000000000000009,-0.9999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NKE,Bull Call Spread,-9.28,83.0,67.0,83.0,49.66,50.32,-0.11180722891566264,10.000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,NKE,Bull Call Spread,-15.61,139.0,111.0,139.0,49.66,50.32,-0.11230215827338129,17.0,-1.0000000000000009,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NKE,Bull Call Spread,-18.86,159.0,141.0,159.0,49.66,50.32,-0.11861635220125785,20.999999999999996,-1.0000000000000009,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,NKE,Bull Call Spread,-13.45,112.0,88.0,112.0,49.66,50.32,-0.1200892857142857,13.000000000000005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,NKE,Bull Call Spread,-12.53,103.0,97.0,103.0,49.66,50.32,-0.12165048543689319,14.000000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NKE,Bull Call Spread,-16.7,132.0,118.0,132.0,49.66,50.32,-0.1265151515151515,17.000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NKE,Bull Call Spread,-8.12,57.0,43.0,57.0,49.66,50.32,-0.14245614035087717,7.000000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
