,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
9,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,TAP,Bull Call Spread,24.47,75.0,1313.0141510467347,75.0,32.51,67.45,0.32626666666666665,35.0,12.0,-4.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,TAP,Bull Call Spread,20.73,95.0,1343.0141510467347,95.0,32.51,67.45,0.21821052631578947,41.0,13.0,-5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TAP,Bull Call Spread,20.73,95.0,1343.0141510467347,95.0,32.51,67.45,0.21821052631578947,41.0,13.0,-5.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TAP,Bull Call Spread,19.34,120.0,1368.0141510467347,120.0,32.51,67.45,0.16116666666666665,48.0,12.0,-5.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TAP,Bull Call Spread,19.34,120.0,1368.0141510467347,120.0,32.51,67.45,0.16116666666666665,48.0,12.0,-5.0,3.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,TAP,Bull Call Spread,12.81,175.0,1413.0141510467347,175.0,32.51,67.45,0.0732,60.0,12.0,-5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAP,Bull Call Spread,12.81,175.0,1413.0141510467347,175.0,32.51,67.45,0.0732,60.0,12.0,-5.0,3.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TAP,Bull Call Spread,-15.12,55.0,45.0,55.0,32.51,67.45,-0.2749090909090909,13.0,0.0,-1.0000000000000002,0.9999999999999999,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TAP,Bull Call Spread,-16.38,40.0,10.0,40.0,48.44,51.51,-0.4095,7.000000000000001,-1.0000000000000009,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TAP,Bull Call Spread,-13.73,30.0,20.0,30.0,32.51,67.45,-0.45766666666666667,6.0,1.0000000000000009,-1.0000000000000002,0.9999999999999999,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,TAP,Bull Call Spread,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TAP,Bear Call Spread,-13.33,-75.0,75.0,125.0,51.51,48.44,-0.10664,-25.0,0.0,1.0000000000000002,-0.9999999999999999,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TAP,Bear Call Spread,-9.87,-30.0,30.0,70.0,51.51,48.44,-0.141,-13.0,0.0,1.0000000000000002,-0.9999999999999999,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAP,Bear Call Spread,-17.07,-55.0,55.0,95.0,51.51,48.44,-0.17968421052631578,-19.0,1.0000000000000009,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TAP,Bear Call Spread,-11.26,-5.0,5.0,45.0,67.45,32.51,-0.25022222222222223,-6.0,-1.0000000000000009,1.0000000000000002,-0.9999999999999999,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,TAP,Bear Call Spread,-18.46,-30.0,30.0,70.0,51.51,48.44,-0.26371428571428573,-12.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TAP,Bear Call Spread,-13.61,-10.0,10.0,40.0,51.51,48.44,-0.34025,-7.000000000000001,1.0000000000000009,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TAP,Bear Call Spread,0.0,0.0,0.0,-0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,TAP,Bull Put Spread,-16.38,-10.0,10.0,40.0,48.44,51.51,-0.4095,6.999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
1,TAP,Bull Put Spread,-18.73,-15.0,15.0,35.0,32.51,67.45,-0.5351428571428571,5.000000000000004,0.9999999999999996,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
1,TAP,Bear Put Spread,-7.07,85.0,65.0,85.0,51.51,48.44,-0.0831764705882353,-18.999999999999993,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
2,TAP,Bear Put Spread,-18.33,130.0,70.0,130.0,51.51,48.44,-0.141,-24.0,0.0,0.0,-0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0
0,TAP,Bear Put Spread,-8.46,60.0,40.0,60.0,51.51,48.44,-0.14100000000000001,-12.0,0.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
3,TAP,Bear Put Spread,-13.61,40.0,10.0,40.0,51.51,48.44,-0.34025,-6.999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0
5,TAP,Bull Put Ladder,-6.55,140.0,1366.0141510467354,190.0,34.58,65.37,-0.034473684210526316,-46.999999999999986,13.0,-5.0,3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
6,TAP,Bull Put Ladder,-8.33,35.0,1321.0141510467354,235.0,34.58,65.37,-0.0354468085106383,-40.99999999999999,17.0,-4.000000000000001,3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
8,TAP,Bull Put Ladder,-18.2,105.0,1351.0141510467354,251.10600794982815,34.58,65.37,-0.07247934905498725,-53.0,15.999999999999998,-4.000000000000001,3.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
4,TAP,Bull Put Ladder,-14.86,-10.0,1266.0141510467354,190.0,39.44,60.52,-0.07821052631578947,-29.000000000000004,15.999999999999998,-4.000000000000001,3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,TAP,Bull Put Ladder,-10.74,100.0,1306.0141510467354,135.89399205017116,34.58,65.37,-0.07903219147491718,-33.00000000000001,10.999999999999998,-5.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0
2,TAP,Bull Put Ladder,-16.25,-35.0,1241.0141510467354,200.89399205017116,39.44,60.52,-0.08088843192454323,-22.000000000000007,15.999999999999998,-4.000000000000001,3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
7,TAP,Bull Put Ladder,-19.59,80.0,1326.0141510467354,230.0,34.58,65.37,-0.08517391304347827,-46.00000000000002,15.999999999999998,-4.000000000000001,3.0000000000000004,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
3,TAP,Bull Put Ladder,-13.09,95.0,1311.0141510467354,145.0,34.58,65.37,-0.09027586206896551,-35.0,11.999999999999998,-5.0,3.9999999999999996,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0
