,C_1000000.0,C_34.0,C_35.0,C_35.5,C_36.0,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_-1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
1,,,,,,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-117.0,-0.14518796992481203,-19.31,133.0,117.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-17.000000000000004,2.0000000000000004,0.0,0.9999999999999996,0.0,WDC
11,,,,,,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-57.0,-0.15731182795698925,-14.63,93.0,57.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-12.0,0.0,0.0,0.0,0.0,WDC
17,,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-35.0,-0.1930769230769231,-12.55,65.0,35.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-9.000000000000002,1.9999999999999991,0.0,0.9999999999999996,0.0,WDC
18,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-12.0,-0.30973684210526314,-11.77,38.0,12.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-4.999999999999999,0.9999999999999996,0.0,0.0,0.0,WDC
0,,,,,,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-0.33339622641509437,-17.67,53.0,47.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-5.000000000000004,2.0000000000000004,0.0,0.9999999999999996,0.0,WDC
10,,,,,,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.999999999999972,-0.42377777777777753,-19.07,45.00000000000003,4.999999999999972,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.52,52.41,-4.0000000000000036,0.0,0.0,0.0,0.0,WDC
5,,,,,,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-0.4478125,-14.33,32.0,18.0,Bear Call Spread,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64,35.29,-4.0000000000000036,0.0,0.0,0.0,0.0,WDC
6,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.0,-0.09689655172413793,-11.24,116.0,134.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,52.41,47.52,22.000000000000004,0.9999999999999996,0.0,-1.0000000000000009,0.0,WDC
1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-178.0,-0.11261627906976744,-19.37,172.0,178.0,Bull Put Spread,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,52.41,47.52,31.000000000000007,0.0,0.0,-1.0000000000000009,0.0,WDC
5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-0.1202970297029703,-12.15,101.0,99.0,Bull Put Spread,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,52.41,47.52,17.0,0.9999999999999996,0.0,0.0,0.0,WDC
