,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
20,SWK,Bull Put Ladder,-17.78,490.0,5659.945627935993,558.9502301086321,34.7,65.26,-0.03180962998538252,-40.0,3.0,-20.0,10.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
24,SWK,Bull Put Ladder,-17.78,490.0,5659.945627935993,558.9502301086321,34.7,65.26,-0.03180962998538252,-40.0,3.0,-21.000000000000004,12.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
14,SWK,Bull Put Ladder,-18.72,320.0,5529.945627935993,572.9502301086325,34.7,65.26,-0.032672994993737325,-29.999999999999993,3.0,-22.000000000000004,11.000000000000002,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
7,SWK,Bull Put Ladder,-16.81,500.0,5649.945627935993,500.0,34.7,65.26,-0.03362,-40.0,3.0,-20.0,9.000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SWK,Bull Put Ladder,-16.81,500.0,5649.945627935993,500.0,34.7,65.26,-0.03362,-40.0,3.0,-20.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2,SWK,Bull Put Ladder,-17.57,320.0,5429.945627935993,520.0,34.7,65.26,-0.03378846153846154,-28.000000000000004,3.0,-19.0,9.000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
4,SWK,Bull Put Ladder,-18.49,450.0,5599.945627935993,502.95023010863247,34.7,65.26,-0.036763080903663835,-37.00000000000001,3.0,-20.0,9.000000000000002,-1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,SWK,Bull Put Ladder,-18.49,450.0,5599.945627935993,502.95023010863247,34.7,65.26,-0.036763080903663835,-37.0,3.0,-20.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
3,SWK,Bull Put Ladder,-18.49,449.99999999999994,5599.945627935993,502.9502301086324,34.7,65.26,-0.03676308090366384,-37.0,3.0,-20.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,SWK,Bull Put Ladder,-16.91,380.0,5469.945627935993,427.04976989136753,34.7,65.26,-0.03959725819382024,-31.0,3.0,-18.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
