,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
36,T,Bull Call Spread,26.92,292.0,3216.0254316577593,292.0,33.37,66.6,0.09219178082191781,180.99999999999997,77.0,-12.0,8.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0
34,T,Bull Call Spread,18.78,225.0,2418.5190737433195,225.0,33.37,66.6,0.08346666666666668,138.0,58.00000000000001,-9.0,6.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0
33,T,Bull Call Spread,10.65,158.00000000000003,1621.0127158288797,158.00000000000003,33.37,66.6,0.06740506329113923,95.0,39.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0
24,T,Bull Call Spread,22.36,402.00000000000006,3306.0254316577593,402.00000000000006,33.37,66.6,0.05562189054726367,222.00000000000003,76.0,-12.0,8.0,0.0,0.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,T,Bull Call Spread,13.16,249.0,2444.5190737433195,249.0,33.37,66.6,0.05285140562248996,146.99999999999997,59.0,-9.0,6.000000000000001,0.0,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0
22,T,Bull Call Spread,15.46,309.0,2484.5190737433195,309.0,33.37,66.6,0.050032362459546925,169.00000000000003,57.00000000000001,-9.0,6.0,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,T,Bull Call Spread,20.74,422.00000000000006,3336.0254316577593,422.00000000000006,33.37,66.6,0.04914691943127961,231.00000000000006,77.0,-12.0,8.0,0.0,0.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
28,T,Bull Call Spread,13.84,329.0,2514.5190737433195,329.0,33.37,66.6,0.04206686930091185,178.0,58.00000000000001,-9.0,6.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
21,T,Bull Call Spread,8.56,216.0,1663.0127158288797,216.0,33.37,66.6,0.03962962962962963,116.00000000000001,38.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,T,Bull Call Spread,10.23,339.00000000000006,2504.5190737433195,339.00000000000006,33.37,66.6,0.030176991150442475,179.00000000000006,56.99999999999999,-9.0,6.000000000000001,0.0,0.0,0.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
27,T,Bull Call Spread,6.94,236.0,1693.0127158288797,236.0,33.37,66.6,0.02940677966101695,125.0,39.00000000000001,-6.0,3.9999999999999996,0.0,0.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
35,T,Bull Call Spread,5.03,182.0,1647.0127158288797,182.0,33.37,66.6,0.027637362637362637,104.0,40.0,-6.0,4.0,0.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0
32,T,Bull Call Spread,2.51,91.0,823.5063579144398,91.0,33.37,66.6,0.02758241758241758,52.0,20.0,-3.0,2.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0
15,T,Bull Call Spread,14.19,547.0,3411.0254316577593,547.0,33.37,66.6,0.025941499085923216,267.0,71.0,-12.0,8.0,5.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,T,Bull Call Spread,12.43,524.0,3384.0254316577593,524.0,33.37,66.6,0.023721374045801526,257.0,71.0,-12.0,8.0,5.0,0.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,T,Bull Call Spread,12.57,567.0,3441.0254316577593,567.0,33.37,66.6,0.02216931216931217,276.0,72.0,-12.0,8.0,5.0,0.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
14,T,Bull Call Spread,8.93,425.0,2568.5190737433195,425.0,49.52,50.46,0.02101176470588235,204.99999999999997,53.0,-9.0,6.0,4.0,0.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,T,Bull Call Spread,6.98,379.00000000000006,2564.5190737433195,379.00000000000006,33.37,66.6,0.01841688654353562,197.00000000000003,59.0,-9.0,6.000000000000001,0.0,0.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
11,T,Bull Call Spread,7.16,402.0,2541.5190737433195,402.0,33.37,66.6,0.01781094527363184,195.0,53.0,-9.0,6.0,4.0,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,T,Bull Call Spread,7.3,445.0,2598.5190737433195,445.0,33.37,66.6,0.01640449438202247,214.0,54.0,-9.0,6.0,4.0,0.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
2,T,Bull Call Spread,9.7,665.0000000000001,3443.0254316577593,665.0000000000001,49.52,50.46,0.01458646616541353,288.0,62.000000000000014,-12.0,8.0,4.0,5.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,T,Bull Call Spread,9.83,717.0000000000001,3491.0254316577593,717.0000000000001,49.52,50.46,0.013709902370990235,307.0,61.00000000000001,-12.0,8.0,5.0,5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,T,Bull Call Spread,3.33,246.0,1683.0127158288797,246.0,33.37,66.6,0.013536585365853658,126.00000000000003,38.0,-6.0,4.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,T,Bull Call Spread,1.66,123.0,841.5063579144398,123.0,33.37,66.6,0.013495934959349592,63.000000000000014,19.0,-3.0,2.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,T,Bull Call Spread,3.66,303.0,1726.0127158288797,303.0,49.52,50.46,0.01207920792079208,143.0,35.0,-6.0,3.9999999999999996,3.0,0.0,3.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,T,Bull Call Spread,8.07,694.0000000000001,3464.0254316577593,694.0000000000001,49.52,50.46,0.011628242074927953,297.0,61.00000000000001,-12.0,8.0,5.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T,Bull Call Spread,8.21,737.0000000000001,3521.0254316577593,737.0000000000001,49.52,50.46,0.011139755766621438,316.0,62.000000000000014,-12.0,8.0,5.0,5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
1,T,Bull Call Spread,5.31,509.0,2584.5190737433195,509.0,49.52,50.46,0.01043222003929273,217.99999999999997,46.0,-9.0,6.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,T,Bull Call Spread,5.44,561.0,2632.5190737433195,561.0,49.52,50.46,0.009696969696969697,236.99999999999997,45.0,-9.0,6.0,4.0,4.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,T,Bull Call Spread,3.68,538.0,2605.5190737433195,538.0,49.52,50.46,0.006840148698884759,226.99999999999994,45.0,-9.0,6.0,4.0,4.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,T,Bull Call Spread,1.9,280.0,1699.0127158288797,280.0,33.37,66.6,0.0067857142857142855,132.99999999999997,35.0,-6.0,3.9999999999999996,3.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,T,Bull Call Spread,3.82,581.0,2662.5190737433195,581.0,49.52,50.46,0.00657487091222031,246.0,46.0,-9.0,6.0,4.0,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
17,T,Bull Call Spread,2.04,323.0,1756.0127158288797,323.0,49.52,50.46,0.00631578947368421,151.99999999999997,36.00000000000001,-6.0,3.9999999999999996,3.0,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
16,T,Bull Call Spread,2.06,484.0,2609.5190737433195,484.0,49.52,50.46,0.004256198347107438,224.00000000000003,51.99999999999999,-9.0,6.000000000000001,5.0,0.0,5.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bull Call Spread,0.92,353.0,1726.0127158288797,353.0,49.52,50.46,0.002606232294617564,147.99999999999994,30.0,-6.0,3.9999999999999996,1.9999999999999998,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,T,Bull Call Spread,1.05,405.0,1774.0127158288797,405.0,49.52,50.46,0.0025925925925925925,166.99999999999997,28.999999999999996,-6.0,3.9999999999999996,3.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,T,Bull Call Spread,0.08,286.0,1743.0127158288797,286.0,33.37,66.6,0.0002797202797202797,144.0,40.0,-6.0,4.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
26,T,Bull Call Spread,0.04,143.0,871.5063579144398,143.0,33.37,66.6,0.0002797202797202797,72.0,20.0,-3.0,2.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
65,T,Bear Call Spread,31.65,177.0,3031.0254316577593,187.44770304812843,20.2,79.77,0.1688470943379533,127.00000000000003,71.0,-12.0,8.0,0.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0
64,T,Bear Call Spread,22.9,129.0,2264.5190737433195,139.44770304812843,20.2,79.77,0.16421927001620373,93.00000000000001,53.0,-9.0,6.0,0.0,0.0,0.0,0.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0
63,T,Bear Call Spread,14.14,81.0,1498.0127158288797,91.44770304812843,20.2,79.77,0.1546238946270547,59.00000000000001,35.0,-6.0,3.9999999999999996,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,0.0
68,T,Bear Call Spread,19.52,114.0,2229.5190737433195,134.89540609625686,20.2,79.77,0.14470470540761912,84.00000000000001,51.99999999999999,-9.0,6.000000000000001,0.0,0.0,0.0,0.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0
58,T,Bear Call Spread,29.89,154.0,3004.0254316577593,214.44770304812843,20.2,79.77,0.139381301712016,117.00000000000001,71.0,-12.0,8.0,0.0,0.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
44,T,Bear Call Spread,31.52,125.00000000000001,2983.0254316577593,235.44770304812846,20.2,79.77,0.13387261626229124,108.0,72.0,-12.0,8.0,-1.0,0.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
22,T,Bear Call Spread,32.4,91.0,2967.0254316577593,251.44770304812843,20.2,79.77,0.12885383166056788,100.00000000000003,73.99999999999999,-12.0,8.0,-1.0,-1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
57,T,Bear Call Spread,21.13,106.0,2237.5190737433195,166.44770304812843,20.2,79.77,0.12694678035833423,83.0,53.0,-9.0,6.0,0.0,0.0,0.0,-1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
67,T,Bear Call Spread,10.76,66.0,1463.0127158288797,86.89540609625686,20.2,79.77,0.12382702933778568,50.000000000000014,34.0,-6.0,4.0,0.0,0.0,0.0,0.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0
62,T,Bear Call Spread,5.38,33.0,731.5063579144398,43.44770304812843,20.2,79.77,0.12382702933778568,25.000000000000007,17.0,-3.0,2.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0
43,T,Bear Call Spread,22.77,77.00000000000001,2216.5190737433195,187.44770304812846,20.2,79.77,0.12147388113981662,74.00000000000001,54.0,-9.0,6.0,-1.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
21,T,Bear Call Spread,23.64,43.0,2200.5190737433195,203.44770304812843,20.2,79.77,0.11619693732500692,66.00000000000001,55.99999999999999,-9.0,6.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
56,T,Bear Call Spread,12.38,58.0,1471.0127158288797,118.44770304812843,20.2,79.77,0.10451870050168621,49.0,35.0,-6.0,3.9999999999999996,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
52,T,Bear Call Spread,26.78,249.0,3159.0254316577593,257.2091878074863,33.37,66.6,0.10411758704375702,162.0,76.0,-12.0,8.0,0.0,0.0,0.0,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
37,T,Bear Call Spread,28.41,220.0,3138.0254316577593,278.2091878074863,33.37,66.6,0.10211740389989925,152.99999999999997,77.0,-12.0,8.0,-1.0,0.0,-1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
42,T,Bear Call Spread,14.01,29.000000000000014,1450.0127158288797,139.44770304812846,20.2,79.77,0.10046777174353773,40.0,36.00000000000001,-6.0,3.9999999999999996,-1.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
14,T,Bear Call Spread,29.28,186.0,3122.0254316577593,294.2091878074863,33.37,66.6,0.09952102522086824,145.0,78.99999999999999,-12.0,8.0,-1.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
20,T,Bear Call Spread,14.88,-5.0,1434.0127158288797,155.44770304812843,53.94,46.04,0.09572351156191082,32.00000000000001,38.0,-6.0,3.9999999999999996,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
