,C_1000000.0,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,C_34.0,C_35.0,C_35.5,C_36.0,Cost of Strategy,Exp_Pnl/Max_Loss,Expected PnL,Max_Loss,Max_Profit,Name,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5,Prob of Loss,Prob of Profit,Strategy_Delta,Strategy_Gamma,Strategy_Rho,Strategy_Theta,Strategy_Vega,Underlying
239,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,740.0,0.03074512503944763,34.81,1132.2120158996563,8296.084906280412,Bull Put Ladder,,,,,,,,,,,,,,0.0,4.0,4.0,0.0,0.0,-2.0,65.37,34.58,-303.99999999999994,82.0,-6.0,-28.000000000000004,20.0,TAP
172,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,820.0,0.030363814518526194,27.58,908.3180238494845,7010.070755233677,Bull Put Ladder,,,,,,,,,,,,,,0.0,2.0,5.0,-2.0,0.0,0.0,65.37,34.58,-271.0,62.0,-5.0,-24.999999999999996,17.0,TAP
117,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,715.0,0.030284874589400757,23.05,761.1060079498282,8121.084906280414,Bull Put Ladder,,,,,,,,,,,,,,5.0,0.0,2.0,-1.0,0.0,0.0,65.37,34.58,-253.99999999999997,68.0,-6.000000000000001,-30.0,19.0,TAP
249,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,715.0,0.030078138144231038,33.42,1111.1060079498282,8271.084906280412,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,3.0,0.0,0.0,-2.0,65.37,34.58,-297.0,82.0,-6.0,-28.000000000000004,20.0,TAP
178,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,795.0,0.029519437891564908,26.19,887.2120158996563,6985.070755233676,Bull Put Ladder,,,,,,,,,,,,,,0.0,3.0,4.0,-2.0,0.0,0.0,65.37,34.58,-263.99999999999994,62.0,-5.0,-25.0,17.0,TAP
25,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,885.0,0.029503085244300904,26.34,892.7879841003437,9507.099057327148,Bull Put Ladder,,,,,,,,,,,,,,4.0,5.0,-2.0,0.0,0.0,0.0,65.37,34.58,-302.00000000000006,80.0,-6.999999999999999,-35.0,21.000000000000004,TAP
224,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,345.0,0.029394495412844036,16.02,545.0,4123.042453140206,Bull Put Ladder,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,0.0,-1.0,65.37,34.58,-145.0,41.0,-3.0,-14.000000000000002,10.0,TAP
281,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,645.0,0.028854640198970362,22.49,779.4240317993126,5629.056604186942,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,4.0,1.0,0.0,-1.0,65.37,34.58,-229.99999999999997,52.0,-4.0,-19.0,11.999999999999998,TAP
186,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,770.0,0.02864545421954537,24.81,866.1060079498282,6960.070755233676,Bull Put Ladder,,,,,,,,,,,,,,0.0,4.0,3.0,-2.0,0.0,0.0,65.37,34.58,-257.0,62.0,-5.0,-25.0,17.0,TAP
40,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,490.0000000000001,0.028534972304986122,15.52,543.893992050172,5434.056604186942,Bull Put Ladder,,,,,,,,,,,,,,2.0,3.0,0.0,-1.0,0.0,0.0,65.37,34.58,-172.00000000000003,47.0,-4.0,-20.0,13.0,TAP
269,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1150.0,0.02824873012554234,33.72,1193.6819761505162,9792.099057327147,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,0.0,3.0,0.0,-1.0,65.37,34.58,-381.99999999999994,85.99999999999999,-7.000000000000001,-34.0,19.0,TAP
93,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,455.0,0.028237451129566927,14.04,497.2120158996563,4163.042453140206,Bull Put Ladder,,,,,,,,,,,,,,1.0,0.0,3.0,-1.0,0.0,0.0,65.37,34.58,-152.99999999999997,36.0,-3.0,-15.000000000000002,10.0,TAP
58,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,665.0,0.028196090416882147,20.27,718.8939920501718,8071.084906280414,Bull Put Ladder,,,,,,,,,,,,,,5.0,2.0,0.0,-1.0,0.0,0.0,65.37,34.58,-240.0,68.0,-6.000000000000001,-30.0,19.0,TAP
292,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1500.0,0.0278360443821171,42.97,1543.6819761505162,11348.113208373883,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,5.0,4.0,0.0,-1.0,65.37,34.58,-480.99999999999994,97.0,-8.0,-39.0,21.0,TAP
74,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,495.0,0.02772952725369652,19.38,698.8939920501718,6735.070755233677,Bull Put Ladder,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,-1.0,65.37,34.58,-206.00000000000006,61.999999999999986,-5.0,-24.000000000000004,16.0,TAP
196,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,745.0,0.02771597633136095,23.42,845.0,6935.070755233677,Bull Put Ladder,,,,,,,,,,,,,,0.0,5.0,2.0,-2.0,0.0,0.0,65.37,34.58,-250.0,62.0,-5.0,-24.999999999999996,17.0,TAP
130,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,460.0,0.027445063205879264,17.9,652.2120158996563,5464.056604186942,Bull Put Ladder,,,,,,,,,,,,,,2.0,0.0,3.0,0.0,0.0,-1.0,65.37,34.58,-187.00000000000003,51.0,-4.0,-19.0,13.0,TAP
123,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1060.0,0.02738788327520173,31.45,1148.3180238494845,10938.113208373885,Bull Put Ladder,,,,,,,,,,,,,,5.0,0.0,5.0,-2.0,0.0,0.0,65.37,34.58,-366.9999999999999,93.0,-8.0,-40.0,26.0,TAP
110,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,605.0,0.02673911742086329,17.41,651.1060079498282,6775.070755233677,Bull Put Ladder,,,,,,,,,,,,,,4.0,0.0,2.0,-1.0,0.0,0.0,65.37,34.58,-214.0,56.99999999999999,-5.0,-25.000000000000007,16.0,TAP
12,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,475.0,0.02656120187589945,12.72,478.89399205017185,5399.056604186942,Bull Put Ladder,,,,,,,,,,,,,,3.0,2.0,-1.0,0.0,0.0,0.0,65.37,34.58,-165.00000000000003,45.00000000000001,-4.0,-20.0,12.0,TAP
17,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,775.0,0.026431167085144987,20.69,782.7879841003437,8161.084906280412,Bull Put Ladder,,,,,,,,,,,,,,3.0,5.0,-2.0,0.0,0.0,0.0,65.37,34.58,-262.0,69.0,-6.0,-30.000000000000004,18.0,TAP
148,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,610.0,0.026386107770237383,21.27,806.1060079498282,8076.084906280414,Bull Put Ladder,,,,,,,,,,,,,,5.0,0.0,2.0,0.0,0.0,-1.0,65.37,34.58,-247.99999999999994,72.0,-6.000000000000001,-28.999999999999996,19.0,TAP
282,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,870.0,0.02608018575251178,24.79,950.5300397491408,7060.070755233677,Bull Put Ladder,,,,,,,,,,,,,,0.0,0.0,4.0,2.0,0.0,-1.0,65.37,34.58,-293.99999999999994,62.999999999999986,-5.0,-24.000000000000004,14.000000000000002,TAP
