,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_95.0,C_96.0,C_97.0,C_97.5,C_98.0,C_98.5,C_99.0,C_99.5,C_100.0,C_101.0,P_95.0,P_96.0,P_97.0,P_97.5,P_98.0,P_98.5,P_99.0,P_99.5,P_100.0,P_101.0
70,NKE,Bear Call Spread,142.62,-115.0,6541.606505607523,575.2668949335975,70.59,29.39,0.24791970693266208,27.0,18.0,-22.000000000000004,21.000000000000004,1.0000000000000002,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NKE,Bear Call Spread,93.42,-64.00000000000006,4415.071003738349,381.1334474667987,53.89,46.09,0.2451109988402107,24.0,12.0,-15.0,15.000000000000002,0.9999999999999999,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NKE,Bear Call Spread,139.88,-245.0000000000001,6471.606505607523,645.2668949335974,53.89,46.09,0.21677851614314514,17.000000000000014,18.0,-22.000000000000004,23.000000000000004,1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,NKE,Bear Call Spread,84.66,-104.0,4255.071003738349,421.199315199211,70.59,29.39,0.2009974777854496,8.000000000000007,12.0,-14.000000000000002,14.000000000000002,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,NKE,Bear Call Spread,42.33,-52.0,2127.5355018691744,210.5996575996055,70.59,29.39,0.2009974777854496,4.0000000000000036,6.0,-7.000000000000001,7.000000000000001,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,NKE,Bear Call Spread,37.17,-22.0,2147.5355018691744,190.5996575996055,70.59,29.39,0.1950160901027607,7.9999999999999964,4.999999999999999,-7.000000000000001,7.000000000000001,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,NKE,Bear Call Spread,74.33,-44.0,4295.071003738349,381.199315199211,70.59,29.39,0.19498985710705138,15.999999999999993,9.999999999999998,-14.000000000000002,14.000000000000002,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,NKE,Bear Call Spread,95.66,-232.0,4183.071003738349,493.199315199211,70.59,29.39,0.19395809574747971,-4.0000000000000036,12.0,-14.000000000000002,14.000000000000002,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,NKE,Bear Call Spread,47.83,-116.0,2091.5355018691744,246.5996575996055,70.59,29.39,0.19395809574747971,-2.0000000000000018,6.0,-7.000000000000001,7.000000000000001,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NKE,Bear Call Spread,92.92,-362.0000000000001,4113.071003738349,563.1993151992109,70.59,29.39,0.1649859960627491,-13.99999999999999,12.0,-14.000000000000002,16.000000000000004,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NKE,Bear Call Spread,46.46,-181.00000000000006,2056.5355018691744,281.59965759960545,70.59,29.39,0.1649859960627491,-6.999999999999995,6.0,-7.000000000000001,8.000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,NKE,Bear Call Spread,127.37,-65.00000000000011,6791.606505607523,825.2668949335974,53.89,46.09,0.1543379490707045,47.00000000000002,23.000000000000004,-26.999999999999996,23.000000000000004,1.0000000000000002,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NKE,Bear Call Spread,87.23,-35.0,4686.071003738349,574.7331050664025,67.11,32.87,0.15177479638992047,48.0,17.000000000000004,-17.999999999999993,17.000000000000004,4.000000000000001,-3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
