,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_134.0,C_135.0,C_136.0,C_137.0,C_138.0,C_139.0,C_140.0,C_141.0,C_142.0,C_143.0,C_144.0,C_145.0,C_146.0,P_134.0,P_135.0,P_136.0,P_137.0,P_138.0,P_139.0,P_140.0,P_141.0,P_142.0,P_143.0,P_144.0,P_145.0,P_146.0
12,SWK,Bear Call Spread,252.74,-189.99999999999977,15291.836883807977,1672.099539782736,54.41,45.54,0.1511512885368294,29.000000000000004,9.0,-47.00000000000001,32.0,4.000000000000001,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,SWK,Bear Call Spread,243.33,-50.0,15351.836883807977,1612.0995397827357,54.41,45.54,0.15093981109429125,33.00000000000001,9.0,-47.00000000000001,30.0,4.000000000000001,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,SWK,Bear Call Spread,130.96,-100.0,9967.891255871984,1162.0995397827357,71.37,28.58,0.11269258399713683,12.00000000000001,6.0,-28.000000000000004,20.0,2.0000000000000004,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,SWK,Bear Call Spread,65.48,-50.0,4983.945627935992,581.0497698913679,71.37,28.58,0.11269258399713683,6.000000000000005,3.0,-14.000000000000002,10.0,1.0000000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,SWK,Bear Call Spread,136.34,-220.0,9887.891255871984,1242.0995397827357,71.37,28.58,0.10976576001618049,6.000000000000005,6.0,-28.000000000000004,20.0,2.0000000000000004,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,SWK,Bear Call Spread,68.17,-110.0,4943.945627935992,621.0497698913679,71.37,28.58,0.10976576001618049,3.0000000000000027,3.0,-14.000000000000002,10.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,SWK,Bear Call Spread,67.6,-239.9999999999999,4873.945627935992,691.049769891368,54.41,45.54,0.09782218726536385,-2.0000000000000018,3.0,-15.000000000000002,11.000000000000002,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,SWK,Bear Call Spread,135.19,-479.9999999999998,9747.891255871984,1382.099539782736,54.41,45.54,0.09781495189648327,-4.0000000000000036,6.0,-30.000000000000004,22.000000000000004,2.0000000000000004,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,SWK,Bear Call Spread,62.89,-170.0,4903.945627935992,661.0497698913679,71.37,28.58,0.0951365583416433,0.0,3.0,-15.000000000000002,10.0,1.0000000000000002,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,SWK,Bear Call Spread,125.77,-340.0,9807.891255871984,1322.0995397827357,71.37,28.58,0.09512899461463252,0.0,6.0,-30.000000000000004,20.0,2.0000000000000004,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,SWK,Bear Call Spread,106.0,-60.0,10127.891255871984,1402.0995397827357,54.41,45.54,0.0756009092025131,17.999999999999993,6.0,-31.999999999999996,20.0,2.0000000000000004,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,SWK,Bear Call Spread,53.0,-30.0,5063.945627935992,701.0497698913679,54.41,45.54,0.0756009092025131,8.999999999999996,3.0,-15.999999999999998,10.0,1.0000000000000002,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SWK,Bear Call Spread,57.25,-99.99999999999989,5133.945627935992,831.049769891368,54.41,45.54,0.06888877426376465,9.999999999999998,3.0,-17.0,11.000000000000002,1.0000000000000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SWK,Bear Call Spread,114.49,-199.99999999999977,10267.891255871984,1662.099539782736,54.41,45.54,0.06888275777692937,19.999999999999996,6.0,-34.0,22.000000000000004,2.0000000000000004,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
