,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_34.0,C_35.0,C_35.5,C_36.0,C_1000000.0,P_34.0,P_35.0,P_35.5,P_36.0,P_37.0,P_37.5
4,TAP,Bear Call Ladder,8.86,-15.000000000000057,3529.042453140204,569.4240317993126,71.29,28.67,0.01555958214830422,23.0,39.0,-11.000000000000002,5.0,-4.0,-4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAP,Bear Call Ladder,5.2,-55.0,2281.0283020934694,383.31802384948446,71.29,28.67,0.013565759177663552,1.0000000000000009,25.0,-5.999999999999998,2.0000000000000004,-3.0,-3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,TAP,Bear Call Ladder,3.81,-30.0,2306.0283020934694,362.2120158996563,71.29,28.67,0.010518701293044583,8.000000000000007,24.0,-5.999999999999998,2.0000000000000004,-1.9999999999999998,-3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TAP,Bear Call Ladder,1.46,-35.0,2311.0283020934694,403.31802384948446,71.29,28.67,0.0036199721154660373,6.999999999999995,26.0,-6.999999999999998,3.0,-3.0,-3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,TAP,Long Straddle,101.73,790.0,5162.056604186939,605.5759682006874,52.18,47.78,0.16798883268479828,88.0,72.0,-30.0,18.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6,TAP,Long Straddle,50.86,395.0,2581.0283020934694,302.7879841003437,52.18,47.78,0.16797231947997326,44.0,36.0,-15.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,TAP,Long Straddle,75.76,464.99999999999994,3849.042453140204,461.1060079498281,52.18,47.78,0.1643006135115101,64.0,51.0,-20.0,12.0,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,TAP,Long Straddle,129.25,1050.0,5890.070755233674,888.3180238494845,54.36,45.6,0.14549969327415108,-17.0,93.0,-35.0,16.0,-3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
14,TAP,Long Straddle,89.32,645.0,3669.042453140204,637.2120158996563,54.36,45.6,0.1401731256964644,5.0,63.0,-25.0,15.0,-2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
20,TAP,Long Straddle,78.01,675.0,3489.042453140204,567.2120158996563,54.36,45.6,0.13753234736444742,-23.000000000000014,58.0,-22.0,10.0,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
