,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_29.0,C_29.5,C_30.0,C_30.5,C_31.0,P_-1000000.0,P_29.5,P_30.0,P_30.5,P_31.0
4,T,Bear Call Spread,14.88,-5.0,1434.0127158288797,155.44770304812843,53.94,46.04,0.09572351156191082,32.00000000000001,38.0,-6.0,3.9999999999999996,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
7,T,Bear Call Spread,21.0,-58.0,2101.5190737433195,262.89540609625686,53.94,46.04,0.07987967652926972,30.00000000000003,57.999999999999986,-9.0,6.000000000000001,-2.0,-2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
13,T,Bear Call Spread,10.5,-37.99999999999997,1367.0127158288797,182.8954060962569,70.66,29.31,0.0574098618664807,12.00000000000001,36.0,-6.0,4.0,-2.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
11,T,Bear Call Spread,5.25,-18.999999999999986,683.5063579144398,91.44770304812845,70.66,29.31,0.0574098618664807,6.000000000000005,18.0,-3.0,2.0,-1.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6,T,Bear Call Spread,12.25,-106.0,1335.0127158288797,214.89540609625686,53.94,46.04,0.05700447591007566,-3.9999999999999813,40.0,-6.0,4.0,-2.0,-2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3,T,Bear Call Spread,6.12,-53.0,667.5063579144398,107.44770304812843,53.94,46.04,0.056957941644026615,-1.9999999999999907,20.0,-3.0,2.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,T,Bear Call Spread,9.76,-30.0,1459.0127158288797,249.10459390374314,53.94,46.04,0.03918032922255691,32.00000000000001,44.0,-6.0,4.0,-2.0,-2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T,Bear Call Spread,4.88,-15.0,729.5063579144398,124.55229695187157,53.94,46.04,0.03918032922255691,16.000000000000004,22.0,-3.0,2.0,-1.0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,T,Bear Call Spread,9.61,-207.0,1236.0127158288797,282.3137817112297,61.45,38.53,0.03404013768562592,-39.99999999999994,41.99999999999999,-6.0,4.000000000000001,-3.0,-3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
14,T,Bear Call Spread,7.0,-105.0,1284.0127158288797,234.3137817112297,61.45,38.53,0.029874469819393124,-15.99999999999997,35.999999999999986,-6.0,4.000000000000001,-3.0,0.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2,T,Bear Call Spread,6.5,-112.0,1391.0127158288797,317.10459390374314,53.94,46.04,0.020497968572391827,5.000000000000027,47.0,-6.0,4.000000000000001,-3.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5,T,Bear Call Spread,3.49,-154.0,568.5063579144398,190.65689085561485,55.84,44.14,0.018305134340216373,-37.999999999999986,22.000000000000004,-3.0,1.9999999999999998,-2.0,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
10,T,Bear Call Spread,3.89,-10.0,1439.0127158288797,269.10459390374314,53.94,46.04,0.01445534594400654,29.000000000000004,40.99999999999999,-6.0,4.000000000000001,-3.0,0.0,-3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
