,Underlying,Name,Expected PnL,Cost of Strategy,Max_Profit,Max_Loss,Prob of Profit,Prob of Loss,Exp_Pnl/Max_Loss,Strategy_Delta,Strategy_Gamma,Strategy_Theta,Strategy_Vega,Strategy_Rho,C_40.0,C_40.5,C_41.0,C_41.5,C_42.0,C_42.5,C_43.0,C_43.5,C_44.0,C_44.5,P_-1000000.0,P_40.5,P_41.0,P_41.5,P_42.0,P_42.5,P_43.0,P_43.5,P_44.0,P_44.5
105,WDC,Short Put Condor,27.82,-25.0,2049.0108784036793,275.0,51.67,48.26,0.10116363636363636,-8.999999999999996,8.999999999999998,-8.000000000000002,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
115,WDC,Short Put Condor,139.09,-125.0,10245.054392018395,1375.0,51.67,48.26,0.10115636363636364,-44.99999999999997,44.99999999999999,-40.00000000000001,15.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0
113,WDC,Short Put Condor,111.27,-100.0,8196.043513614717,1100.0,51.67,48.26,0.10115454545454546,-35.999999999999986,35.99999999999999,-32.00000000000001,12.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0
110,WDC,Short Put Condor,83.45,-74.99999999999989,6147.032635211038,825.0000000000001,51.67,48.26,0.10115151515151515,-27.0,27.0,-24.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0
128,WDC,Short Put Condor,60.83,-147.9999999999999,4046.0217568073585,602.0000000000001,51.67,48.26,0.10104651162790695,-6.000000000000005,19.000000000000007,-17.000000000000004,6.0,-2.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,-3.0
10,WDC,Short Put Condor,79.02,-99.00000000000011,6021.032635211038,795.6332965900523,51.67,48.26,0.0993171104561186,-21.000000000000043,24.0,-21.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0
16,WDC,Short Put Condor,131.7,-165.0,10035.054392018395,1326.055494316754,51.67,48.26,0.09931711045611859,-35.00000000000001,40.0,-35.0,15.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0
13,WDC,Short Put Condor,105.36,-132.0,8028.043513614717,1060.8443954534032,51.67,48.26,0.09931711045611859,-27.99999999999998,32.0,-28.000000000000004,12.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0
7,WDC,Short Put Condor,52.68,-66.0,4014.0217568073585,530.4221977267016,51.67,48.26,0.09931711045611859,-13.99999999999999,16.0,-14.000000000000002,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0
5,WDC,Short Put Condor,26.34,-33.0,2007.0108784036793,265.2110988633508,51.67,48.26,0.09931711045611859,-6.999999999999995,8.0,-7.000000000000001,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
162,WDC,Short Put Condor,80.84,-36.0,6158.032635211036,819.3667034099476,51.67,48.26,0.09866156345329782,-35.00000000000001,31.999999999999996,-21.000000000000004,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,-5.0,0.0
179,WDC,Short Put Condor,76.49,-71.0,6193.032635211036,784.3667034099476,51.67,48.26,0.09751816295550049,-30.00000000000003,31.999999999999996,-26.000000000000007,9.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,-5.0
17,WDC,Short Put Condor,27.25,-68.0,1992.0108784036793,280.2110988633508,51.67,48.26,0.09724811083692611,-1.9999999999999907,8.0,-8.000000000000002,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
